participant, trial, stimulus, response, rt
54, 4, X, x, 0.82
54, 5, X, w, 0.287
54, 6, X, w, 0.2
54, 9, X, x, 0.735
54, 11, X, w, 0.2
54, 12, X, w, 0.2
54, 13, X, x, 0.62
54, 17, X, x, 0.535
54, 18, X, w, 0.25
54, 19, X, x, 0.62
54, 22, X, x, 0.735
54, 29, X, w, 0.45
54, 30, X, w, 0.2
54, 31, X, x, 0.535
54, 32, X, x, 0.57
54, 33, X, x, 0.57
54, 35, X, x, 0.735
54, 37, X, x, 0.62
54, 43, X, x, 0.535
54, 44, X, x, 0.57
54, 47, X, w, 0.2
54, 51, X, x, 0.535
54, 53, X, x, 0.735
54, 55, X, w, 0.2
54, 56, X, w, 0.2
54, 59, X, w, 0.45
54, 67, X, x, 0.535
54, 69, X, w, 0.2
54, 73, X, w, 0.2
54, 77, X, x, 0.535
54, 81, X, w, 0.45
54, 82, X, w, 0.2
54, 86, X, w, 0.2
54, 87, X, x, 0.535
54, 92, X, x, 0.535
54, 93, X, x, 0.57
54, 96, X, w, 0.45
54, 100, X, w, 0.45
54, 103, X, x, 0.535
54, 105, X, x, 0.62
54, 108, X, x, 0.62
54, 115, X, w, 0.2
54, 118, X, w, 0.45
54, 125, X, x, 0.536
54, 127, X, x, 0.62
54, 131, X, x, 0.735
54, 132, X, w, 0.29
54, 139, X, w, 0.45
54, 145, X, x, 0.62
54, 148, X, w, 0.2
54, 149, X, w, 0.2
54, 150, X, w, 0.2
54, 153, X, x, 0.62
54, 154, X, x, 0.57
54, 162, X, x, 0.735
54, 167, X, w, 0.2
54, 168, X, w, 0.2
54, 170, X, x, 0.735
54, 171, X, w, 0.251
54, 176, X, x, 0.735
54, 178, X, x, 0.62
54, 180, X, w, 0.2
54, 183, X, x, 0.62
54, 184, X, w, 0.25
54, 187, X, w, 0.2
54, 190, X, x, 0.535
54, 192, X, w, 0.45
54, 195, X, w, 0.2
54, 197, X, x, 0.535
54, 199, X, w, 0.25
54, 205, X, x, 0.736
54, 209, X, x, 0.62
54, 210, X, w, 0.25
54, 211, X, w, 0.2
54, 215, X, w, 0.2
54, 217, X, w, 0.2
54, 218, X, w, 0.2
54, 222, X, w, 0.45
54, 223, X, x, 0.535
54, 224, X, x, 0.57
54, 227, X, w, 0.2
54, 229, X, w, 0.2
54, 230, X, x, 0.535
54, 231, X, w, 0.25
54, 232, X, x, 0.62
54, 233, X, w, 0.25
54, 236, X, w, 0.2
54, 240, X, w, 0.2
54, 241, X, x, 0.62
54, 244, X, x, 0.62
54, 246, X, x, 0.62
54, 248, X, w, 0.2
54, 249, X, w, 0.2
54, 253, X, w, 0.2
54, 254, X, x, 0.62
54, 258, X, x, 0.735
54, 259, X, w, 0.298
54, 263, X, x, 0.535
54, 267, X, w, 0.45
54, 268, X, x, 0.535
54, 271, X, w, 0.2
54, 275, X, w, 0.2
54, 277, X, w, 0.45
54, 281, X, x, 0.535
54, 287, X, w, 0.45
54, 288, X, x, 0.535
54, 292, X, w, 0.2
54, 293, X, x, 0.62
54, 298, X, w, 0.2
54, 303, X, w, 0.2
54, 307, X, w, 0.2
54, 317, X, w, 0.45
54, 318, X, w, 0.2
54, 320, X, x, 0.735
54, 324, X, w, 0.2
54, 327, X, x, 0.62
54, 328, X, x, 0.57
54, 330, X, w, 0.2
54, 332, X, x, 0.735
54, 333, X, w, 0.291
54, 334, X, w, 0.2
54, 335, X, x, 0.62
54, 336, X, x, 0.57
54, 339, X, w, 0.45
54, 352, X, w, 0.2
54, 355, X, w, 0.45
54, 356, X, w, 0.2
54, 357, X, x, 0.535
54, 360, X, w, 0.2
54, 361, X, w, 0.2
54, 363, X, x, 0.62
54, 364, X, w, 0.25
54, 369, X, x, 0.62
54, 381, X, x, 0.535
54, 383, X, w, 0.2
54, 385, X, w, 0.2
54, 389, X, w, 0.45
54, 392, X, w, 0.2
54, 394, X, w, 0.2
54, 402, X, x, 0.535
54, 403, X, w, 0.25
54, 409, X, x, 0.62
54, 413, X, x, 0.535
54, 416, X, w, 0.2
54, 420, X, x, 0.535
54, 421, X, w, 0.25
54, 422, X, w, 0.2
54, 424, X, w, 0.2
54, 428, X, x, 0.735
54, 431, X, w, 0.2
54, 433, X, x, 0.62
54, 434, X, x, 0.57
54, 443, X, w, 0.2
54, 444, X, w, 0.2
54, 449, X, w, 0.45
54, 450, X, w, 0.2
54, 452, X, w, 0.2
54, 458, X, w, 0.2
