participant, trial, stimulus, response, rt
95, 1, X, x, 0.785
95, 3, X, x, 0.735
95, 4, X, w, 0.295
95, 10, X, x, 0.735
95, 18, X, x, 0.535
95, 22, X, x, 0.535
95, 26, X, x, 0.735
95, 27, X, w, 0.298
95, 32, X, x, 0.535
95, 35, X, w, 0.45
95, 36, X, x, 0.535
95, 37, X, w, 0.25
95, 38, X, x, 0.62
95, 39, X, w, 0.25
95, 44, X, w, 0.45
95, 47, X, w, 0.2
95, 48, X, x, 0.535
95, 50, X, w, 0.25
95, 54, X, x, 0.535
95, 57, X, x, 0.735
95, 62, X, x, 0.535
95, 63, X, w, 0.25
95, 64, X, x, 0.62
95, 66, X, x, 0.62
95, 67, X, w, 0.25
95, 68, X, w, 0.2
95, 71, X, x, 0.535
95, 73, X, x, 0.62
95, 79, X, w, 0.45
95, 80, X, x, 0.535
95, 81, X, w, 0.25
95, 82, X, x, 0.62
95, 83, X, w, 0.25
95, 89, X, w, 0.45
95, 90, X, x, 0.535
95, 96, X, w, 0.2
95, 99, X, w, 0.45
95, 101, X, x, 0.735
95, 103, X, w, 0.2
95, 113, X, w, 0.2
95, 115, X, w, 0.45
95, 118, X, w, 0.45
95, 125, X, x, 0.735
95, 126, X, w, 0.298
95, 130, X, w, 0.2
95, 133, X, w, 0.45
95, 138, X, w, 0.2
95, 139, X, x, 0.535
95, 143, X, w, 0.2
95, 145, X, w, 0.2
95, 147, X, x, 0.62
95, 148, X, x, 0.57
95, 149, X, w, 0.25
95, 153, X, x, 0.535
95, 154, X, x, 0.57
95, 159, X, x, 0.535
95, 164, X, w, 0.45
95, 166, X, w, 0.45
95, 168, X, w, 0.2
95, 174, X, x, 0.535
95, 175, X, w, 0.25
95, 178, X, x, 0.735
95, 185, X, x, 0.735
95, 186, X, w, 0.293
95, 187, X, x, 0.62
95, 189, X, x, 0.735
95, 190, X, w, 0.295
95, 191, X, w, 0.2
95, 197, X, x, 0.535
95, 198, X, w, 0.25
95, 202, X, w, 0.2
95, 207, X, x, 0.535
95, 210, X, x, 0.62
95, 211, X, x, 0.57
95, 214, X, w, 0.2
95, 217, X, w, 0.2
95, 221, X, w, 0.45
95, 225, X, x, 0.735
95, 228, X, w, 0.2
95, 230, X, x, 0.62
95, 242, X, x, 0.536
95, 248, X, w, 0.2
95, 249, X, x, 0.535
95, 259, X, w, 0.2
95, 260, X, w, 0.2
95, 261, X, x, 0.535
95, 264, X, w, 0.2
95, 265, X, w, 0.2
95, 278, X, x, 0.535
95, 281, X, x, 0.62
95, 283, X, x, 0.62
95, 285, X, w, 0.2
95, 287, X, w, 0.45
95, 293, X, x, 0.735
95, 298, X, x, 0.736
95, 299, X, w, 0.297
95, 300, X, x, 0.62
95, 302, X, w, 0.25
95, 304, X, w, 0.45
95, 305, X, x, 0.535
95, 312, X, w, 0.2
95, 313, X, w, 0.2
