participant, trial, stimulus, response, rt
4, 1, X, x, 0.785
4, 4, X, w, 0.45
4, 5, X, x, 0.535
4, 6, X, w, 0.25
4, 7, X, x, 0.62
4, 8, X, x, 0.57
4, 9, X, x, 0.57
4, 16, X, w, 0.45
4, 17, X, x, 0.535
4, 20, X, x, 0.735
4, 21, X, w, 0.299
4, 22, X, w, 0.2
4, 24, X, w, 0.2
4, 30, X, w, 0.2
4, 33, X, x, 0.535
4, 34, X, w, 0.25
4, 35, X, x, 0.62
4, 51, X, x, 0.735
4, 53, X, x, 0.62
4, 60, X, x, 0.535
4, 62, X, w, 0.2
4, 63, X, x, 0.62
4, 66, X, w, 0.45
4, 67, X, x, 0.535
4, 71, X, x, 0.735
4, 72, X, w, 0.299
4, 73, X, w, 0.2
4, 74, X, w, 0.2
4, 76, X, w, 0.45
4, 78, X, x, 0.535
4, 87, X, w, 0.2
4, 89, X, w, 0.2
4, 90, X, x, 0.535
4, 94, X, w, 0.2
4, 102, X, x, 0.535
4, 105, X, x, 0.535
4, 108, X, w, 0.2
4, 115, X, w, 0.45
4, 120, X, w, 0.2
4, 123, X, w, 0.2
4, 131, X, x, 0.535
4, 138, X, x, 0.736
4, 140, X, x, 0.62
4, 142, X, w, 0.45
4, 143, X, x, 0.535
4, 144, X, w, 0.25
4, 145, X, w, 0.2
4, 146, X, w, 0.2
4, 149, X, w, 0.45
4, 151, X, w, 0.2
4, 153, X, w, 0.2
4, 154, X, w, 0.2
4, 155, X, x, 0.535
4, 156, X, x, 0.57
4, 158, X, x, 0.735
4, 161, X, x, 0.62
4, 162, X, w, 0.25
4, 168, X, x, 0.735
4, 169, X, w, 0.298
4, 172, X, x, 0.735
4, 176, X, w, 0.45
4, 177, X, w, 0.2
4, 181, X, x, 0.535
4, 183, X, w, 0.45
4, 187, X, w, 0.2
4, 188, X, w, 0.2
4, 196, X, w, 0.2
4, 197, X, x, 0.535
4, 199, X, x, 0.735
4, 203, X, x, 0.62
4, 204, X, x, 0.57
4, 210, X, w, 0.45
4, 212, X, w, 0.45
4, 213, X, w, 0.2
4, 218, X, x, 0.535
4, 219, X, x, 0.57
4, 226, X, x, 0.735
4, 227, X, w, 0.298
4, 230, X, x, 0.735
4, 231, X, w, 0.294
4, 232, X, x, 0.62
4, 235, X, w, 0.45
4, 237, X, x, 0.62
4, 239, X, x, 0.621
4, 243, X, w, 0.45
4, 244, X, x, 0.535
4, 245, X, w, 0.25
4, 248, X, x, 0.62
4, 257, X, w, 0.2
4, 260, X, x, 0.535
4, 263, X, w, 0.2
4, 270, X, w, 0.2
4, 277, X, w, 0.45
4, 279, X, x, 0.535
4, 280, X, w, 0.25
4, 283, X, x, 0.536
4, 284, X, x, 0.57
4, 288, X, w, 0.2
4, 294, X, x, 0.535
4, 296, X, w, 0.2
4, 299, X, x, 0.62
4, 300, X, x, 0.57
4, 303, X, x, 0.535
4, 305, X, w, 0.45
4, 306, X, w, 0.2
4, 307, X, w, 0.2
4, 309, X, w, 0.2
4, 315, X, x, 0.735
4, 317, X, x, 0.62
4, 321, X, x, 0.735
4, 323, X, x, 0.62
4, 327, X, w, 0.2
4, 328, X, x, 0.535
4, 330, X, w, 0.45
4, 331, X, x, 0.535
4, 332, X, w, 0.25
4, 334, X, w, 0.45
4, 335, X, x, 0.535
4, 336, X, w, 0.25
4, 337, X, w, 0.2
4, 338, X, x, 0.621
4, 339, X, w, 0.25
4, 345, X, w, 0.2
4, 348, X, x, 0.735
4, 349, X, w, 0.296
4, 351, X, x, 0.735
4, 352, X, w, 0.298
4, 353, X, w, 0.2
4, 357, X, w, 0.45
4, 358, X, x, 0.535
4, 360, X, x, 0.62
4, 363, X, x, 0.62
4, 367, X, w, 0.45
4, 369, X, x, 0.535
4, 370, X, w, 0.25
4, 375, X, x, 0.535
4, 376, X, x, 0.57
4, 378, X, x, 0.62
4, 381, X, x, 0.62
4, 390, X, w, 0.45
4, 398, X, w, 0.45
4, 400, X, x, 0.535
4, 402, X, w, 0.2
4, 405, X, w, 0.2
4, 406, X, x, 0.62
4, 412, X, x, 0.735
4, 415, X, x, 0.735
4, 418, X, w, 0.2
4, 419, X, x, 0.62
4, 423, X, x, 0.735
4, 425, X, w, 0.2
4, 426, X, w, 0.2
4, 428, X, x, 0.62
4, 431, X, w, 0.2
4, 432, X, w, 0.2
4, 436, X, w, 0.45
4, 440, X, x, 0.535
4, 445, X, w, 0.45
4, 447, X, w, 0.45
4, 451, X, w, 0.2
4, 452, X, x, 0.535
4, 453, X, x, 0.57
4, 454, X, w, 0.25
4, 455, X, w, 0.2
4, 456, X, w, 0.2
4, 461, X, x, 0.535
4, 463, X, w, 0.2
4, 467, X, w, 0.45
4, 468, X, w, 0.2
4, 470, X, w, 0.2
4, 472, X, w, 0.2
4, 478, X, x, 0.535
4, 481, X, w, 0.45
4, 484, X, w, 0.2
4, 491, X, w, 0.45
4, 495, X, w, 0.2
4, 498, X, x, 0.735
4, 502, X, w, 0.2
4, 508, X, w, 0.45
4, 513, X, w, 0.45
4, 516, X, w, 0.45
4, 519, X, w, 0.2
4, 521, X, w, 0.2
4, 522, X, x, 0.535
4, 524, X, x, 0.735
4, 530, X, w, 0.45
4, 531, X, w, 0.2
4, 532, X, x, 0.535
4, 538, X, x, 0.535
4, 540, X, x, 0.621
4, 542, X, w, 0.2
4, 548, X, w, 0.45
4, 551, X, x, 0.535
4, 558, X, w, 0.45
4, 563, X, x, 0.535
4, 568, X, w, 0.2
4, 569, X, w, 0.2
4, 572, X, w, 0.2
4, 574, X, x, 0.535
4, 575, X, x, 0.57
4, 579, X, w, 0.45
4, 580, X, w, 0.2
4, 581, X, x, 0.535
4, 582, X, w, 0.25
4, 588, X, x, 0.535
4, 590, X, x, 0.485
4, 593, X, w, 0.2
4, 596, X, x, 0.62
4, 597, X, w, 0.25
4, 599, X, w, 0.2
4, 601, X, w, 0.2
4, 604, X, w, 0.2
4, 607, X, w, 0.45
4, 614, X, w, 0.2
4, 622, X, w, 0.2
4, 624, X, w, 0.2
4, 630, X, x, 0.535
4, 631, X, w, 0.25
4, 632, X, w, 0.2
4, 634, X, w, 0.2
4, 640, X, x, 0.535
4, 643, X, x, 0.62
4, 645, X, x, 0.735
4, 646, X, w, 0.296
4, 648, X, w, 0.2
4, 650, X, w, 0.2
4, 652, X, w, 0.2
4, 653, X, x, 0.62
4, 654, X, x, 0.57
4, 655, X, w, 0.25
4, 660, X, x, 0.535
4, 665, X, w, 0.45
4, 666, X, x, 0.535
4, 667, X, w, 0.25
4, 672, X, w, 0.2
4, 674, X, w, 0.2
4, 677, X, w, 0.45
4, 680, X, w, 0.2
4, 681, X, w, 0.2
4, 684, X, w, 0.2
4, 686, X, w, 0.2
4, 691, X, w, 0.2
4, 694, X, w, 0.2
4, 696, X, w, 0.2
4, 699, X, w, 0.45
4, 702, X, w, 0.45
4, 704, X, w, 0.2
4, 705, X, x, 0.535
4, 706, X, w, 0.25
4, 708, X, x, 0.62
4, 709, X, w, 0.25
4, 711, X, x, 0.62
4, 714, X, x, 0.535
4, 717, X, w, 0.2
4, 718, X, x, 0.535
4, 726, X, w, 0.2
4, 728, X, w, 0.2
4, 731, X, w, 0.2
4, 732, X, w, 0.2
4, 735, X, x, 0.535
4, 738, X, x, 0.62
4, 740, X, w, 0.2
4, 741, X, w, 0.2
4, 742, X, w, 0.2
4, 744, X, w, 0.2
4, 746, X, w, 0.45
4, 750, X, w, 0.2
4, 751, X, x, 0.535
4, 752, X, x, 0.57
4, 756, X, w, 0.45
4, 759, X, x, 0.735
4, 762, X, w, 0.2
4, 764, X, w, 0.2
4, 769, X, w, 0.45
4, 777, X, w, 0.2
4, 779, X, x, 0.735
4, 784, X, x, 0.62
4, 785, X, w, 0.25
4, 788, X, x, 0.62
4, 790, X, x, 0.62
4, 792, X, w, 0.2
4, 795, X, w, 0.2
4, 797, X, w, 0.2
4, 799, X, w, 0.2
4, 800, X, x, 0.535
4, 801, X, x, 0.57
4, 803, X, w, 0.45
4, 811, X, w, 0.2
4, 825, X, w, 0.45
4, 829, X, w, 0.2
4, 833, X, x, 0.535
4, 838, X, w, 0.2
4, 839, X, x, 0.62
4, 842, X, w, 0.2
4, 843, X, x, 0.535
4, 848, X, w, 0.2
4, 849, X, w, 0.2
4, 854, X, x, 0.536
4, 857, X, w, 0.45
4, 858, X, x, 0.535
4, 860, X, w, 0.2
4, 863, X, w, 0.2
4, 880, X, w, 0.2
4, 881, X, w, 0.2
4, 883, X, w, 0.45
4, 891, X, w, 0.45
4, 896, X, w, 0.2
4, 901, X, x, 0.535
4, 905, X, w, 0.2
4, 906, X, w, 0.2
4, 907, X, w, 0.2
4, 909, X, w, 0.2
4, 914, X, w, 0.45
4, 915, X, w, 0.2
4, 925, X, w, 0.2
4, 926, X, w, 0.2
4, 927, X, w, 0.2
4, 932, X, x, 0.735
4, 934, X, x, 0.62
4, 935, X, x, 0.57
4, 938, X, x, 0.62
4, 939, X, w, 0.25
