participant, trial, stimulus, response, rt
51, 4, X, x, 0.535
51, 6, X, x, 0.736
51, 7, X, w, 0.293
51, 9, X, w, 0.2
51, 10, X, x, 0.62
51, 11, X, x, 0.57
51, 15, X, x, 0.735
51, 20, X, w, 0.2
51, 21, X, w, 0.2
51, 24, X, w, 0.45
51, 25, X, x, 0.535
51, 28, X, w, 0.2
51, 30, X, x, 0.62
51, 33, X, x, 0.735
51, 35, X, w, 0.45
51, 38, X, x, 0.735
51, 40, X, w, 0.2
51, 47, X, x, 0.735
51, 48, X, w, 0.297
51, 52, X, x, 0.735
51, 54, X, w, 0.45
51, 55, X, w, 0.2
51, 57, X, x, 0.735
51, 60, X, x, 0.735
51, 61, X, w, 0.251
51, 62, X, x, 0.62
51, 63, X, w, 0.25
51, 73, X, x, 0.535
51, 74, X, x, 0.57
51, 79, X, x, 0.735
51, 88, X, x, 0.537
51, 94, X, w, 0.2
51, 95, X, w, 0.2
51, 97, X, x, 0.735
51, 98, X, w, 0.298
51, 101, X, x, 0.62
51, 103, X, x, 0.735
51, 108, X, x, 0.535
51, 109, X, x, 0.57
51, 113, X, x, 0.736
51, 119, X, x, 0.535
51, 120, X, x, 0.57
51, 123, X, w, 0.2
51, 124, X, w, 0.2
51, 126, X, w, 0.2
51, 128, X, w, 0.45
51, 133, X, w, 0.2
51, 134, X, x, 0.535
51, 138, X, x, 0.735
51, 141, X, w, 0.2
51, 142, X, x, 0.62
51, 144, X, x, 0.735
51, 145, X, w, 0.296
51, 147, X, x, 0.62
51, 148, X, w, 0.25
51, 152, X, w, 0.2
51, 153, X, x, 0.535
51, 154, X, w, 0.25
51, 155, X, w, 0.2
51, 159, X, w, 0.45
51, 160, X, x, 0.535
51, 161, X, w, 0.25
51, 164, X, w, 0.2
51, 166, X, w, 0.45
51, 168, X, w, 0.2
51, 169, X, w, 0.2
51, 172, X, w, 0.2
51, 175, X, w, 0.45
51, 178, X, w, 0.2
51, 179, X, x, 0.535
51, 186, X, w, 0.2
51, 189, X, w, 0.2
51, 195, X, w, 0.45
51, 197, X, w, 0.45
51, 198, X, x, 0.535
51, 202, X, x, 0.735
51, 203, X, w, 0.292
51, 206, X, w, 0.2
51, 207, X, w, 0.2
51, 208, X, w, 0.2
51, 209, X, x, 0.62
51, 213, X, x, 0.535
51, 214, X, w, 0.25
51, 215, X, w, 0.2
51, 221, X, w, 0.45
51, 226, X, x, 0.535
51, 227, X, x, 0.57
51, 233, X, w, 0.45
51, 236, X, w, 0.2
51, 244, X, w, 0.45
51, 245, X, w, 0.2
51, 252, X, w, 0.45
51, 256, X, w, 0.2
51, 261, X, x, 0.535
51, 262, X, w, 0.25
51, 264, X, w, 0.45
51, 272, X, x, 0.535
51, 273, X, x, 0.57
51, 275, X, w, 0.45
51, 276, X, x, 0.535
51, 277, X, w, 0.25
