participant, trial, stimulus, response, rt
70, 6, X, x, 0.736
70, 8, X, w, 0.2
70, 9, X, w, 0.2
70, 11, X, w, 0.45
70, 12, X, w, 0.2
70, 13, X, w, 0.2
70, 14, X, w, 0.2
70, 15, X, x, 0.535
70, 18, X, x, 0.735
70, 19, X, w, 0.295
70, 21, X, x, 0.735
70, 22, X, w, 0.292
70, 29, X, x, 0.535
70, 31, X, w, 0.2
70, 32, X, x, 0.62
70, 34, X, x, 0.735
70, 36, X, x, 0.62
70, 37, X, x, 0.57
70, 42, X, w, 0.45
70, 43, X, w, 0.2
70, 47, X, w, 0.45
70, 49, X, x, 0.535
70, 50, X, w, 0.25
70, 52, X, w, 0.2
70, 58, X, w, 0.45
70, 60, X, x, 0.735
70, 63, X, w, 0.2
70, 69, X, x, 0.535
70, 71, X, w, 0.2
70, 73, X, x, 0.62
70, 74, X, x, 0.57
70, 84, X, x, 0.735
70, 85, X, w, 0.296
70, 91, X, x, 0.735
70, 94, X, w, 0.2
70, 97, X, x, 0.62
70, 98, X, w, 0.25
70, 99, X, w, 0.2
70, 101, X, w, 0.45
70, 104, X, w, 0.2
70, 106, X, x, 0.535
70, 107, X, w, 0.25
70, 108, X, w, 0.2
70, 113, X, x, 0.62
70, 115, X, w, 0.45
70, 120, X, w, 0.45
70, 121, X, x, 0.535
70, 128, X, w, 0.2
70, 133, X, x, 0.535
70, 135, X, w, 0.25
70, 139, X, w, 0.2
70, 147, X, x, 0.736
70, 148, X, w, 0.298
70, 149, X, x, 0.62
70, 150, X, w, 0.25
70, 153, X, x, 0.735
70, 154, X, w, 0.298
70, 157, X, x, 0.62
70, 161, X, w, 0.2
70, 162, X, x, 0.535
70, 163, X, w, 0.25
70, 165, X, x, 0.735
70, 166, X, w, 0.292
70, 167, X, w, 0.2
70, 168, X, x, 0.62
70, 171, X, w, 0.2
70, 175, X, x, 0.735
70, 178, X, x, 0.62
70, 198, X, x, 0.535
70, 199, X, x, 0.57
70, 201, X, w, 0.2
70, 206, X, w, 0.45
70, 209, X, x, 0.535
70, 214, X, w, 0.2
70, 215, X, w, 0.2
70, 218, X, w, 0.2
70, 220, X, x, 0.535
70, 228, X, x, 0.535
70, 229, X, x, 0.57
70, 231, X, w, 0.25
70, 235, X, x, 0.535
70, 236, X, x, 0.57
70, 237, X, w, 0.25
70, 245, X, w, 0.2
70, 248, X, x, 0.535
70, 249, X, w, 0.25
70, 251, X, x, 0.62
70, 254, X, w, 0.45
70, 256, X, x, 0.535
70, 258, X, w, 0.45
70, 259, X, w, 0.2
70, 261, X, x, 0.735
70, 268, X, w, 0.2
70, 270, X, w, 0.45
70, 274, X, x, 0.735
70, 275, X, w, 0.298
70, 276, X, w, 0.2
70, 279, X, w, 0.45
70, 284, X, x, 0.535
70, 292, X, x, 0.735
70, 294, X, x, 0.62
70, 307, X, w, 0.2
70, 308, X, w, 0.2
70, 317, X, x, 0.735
70, 326, X, w, 0.2
70, 327, X, x, 0.535
70, 331, X, w, 0.2
70, 335, X, w, 0.2
70, 342, X, w, 0.2
70, 343, X, w, 0.2
70, 346, X, w, 0.2
70, 349, X, w, 0.45
70, 350, X, w, 0.2
70, 353, X, w, 0.2
70, 355, X, w, 0.45
70, 362, X, w, 0.45
70, 369, X, w, 0.2
70, 370, X, w, 0.2
70, 371, X, w, 0.2
70, 376, X, w, 0.45
70, 377, X, w, 0.2
70, 379, X, x, 0.535
70, 380, X, x, 0.57
70, 381, X, x, 0.57
70, 382, X, w, 0.25
