participant, trial, stimulus, response, rt
19, 1, X, x, 0.785
19, 7, X, w, 0.45
19, 11, X, x, 0.535
19, 14, X, w, 0.45
19, 22, X, w, 0.45
19, 28, X, w, 0.45
19, 31, X, w, 0.45
19, 46, X, w, 0.45
19, 48, X, x, 0.735
19, 55, X, w, 0.2
19, 58, X, x, 0.735
19, 60, X, x, 0.62
19, 61, X, x, 0.57
19, 62, X, w, 0.25
19, 63, X, x, 0.62
19, 64, X, x, 0.57
19, 69, X, x, 0.735
19, 72, X, w, 0.45
19, 74, X, w, 0.45
19, 75, X, x, 0.535
19, 77, X, w, 0.45
19, 78, X, w, 0.2
19, 81, X, x, 0.535
19, 85, X, x, 0.62
19, 86, X, w, 0.25
19, 88, X, w, 0.2
19, 89, X, w, 0.2
19, 90, X, x, 0.62
19, 96, X, x, 0.62
19, 104, X, w, 0.2
19, 110, X, x, 0.735
19, 113, X, x, 0.735
19, 114, X, w, 0.296
19, 118, X, x, 0.735
19, 124, X, x, 0.735
19, 127, X, x, 0.735
19, 128, X, w, 0.298
19, 129, X, x, 0.62
19, 130, X, x, 0.57
19, 133, X, x, 0.62
19, 134, X, w, 0.25
19, 141, X, w, 0.2
19, 142, X, x, 0.535
19, 143, X, w, 0.25
19, 144, X, x, 0.621
19, 149, X, w, 0.45
19, 151, X, w, 0.45
19, 152, X, w, 0.2
19, 153, X, w, 0.2
19, 159, X, x, 0.535
19, 160, X, x, 0.57
19, 162, X, w, 0.2
19, 165, X, w, 0.45
19, 166, X, w, 0.2
19, 174, X, w, 0.45
19, 175, X, w, 0.2
19, 176, X, w, 0.2
19, 186, X, x, 0.535
19, 188, X, x, 0.62
19, 192, X, w, 0.2
19, 196, X, x, 0.62
19, 200, X, x, 0.735
19, 201, X, w, 0.294
19, 202, X, w, 0.2
19, 203, X, w, 0.2
19, 206, X, w, 0.2
19, 207, X, x, 0.536
19, 208, X, x, 0.57
19, 209, X, x, 0.57
19, 214, X, w, 0.45
19, 226, X, x, 0.535
19, 228, X, w, 0.2
19, 234, X, w, 0.2
19, 240, X, w, 0.2
19, 244, X, x, 0.535
19, 248, X, x, 0.62
19, 251, X, w, 0.2
19, 252, X, x, 0.535
19, 260, X, w, 0.2
19, 264, X, w, 0.45
19, 265, X, x, 0.535
19, 268, X, w, 0.2
