participant, trial, stimulus, response, rt
35, 1, X, x, 0.785
35, 5, X, w, 0.45
35, 6, X, x, 0.535
35, 9, X, w, 0.45
35, 10, X, w, 0.2
35, 11, X, x, 0.535
35, 13, X, x, 0.735
35, 28, X, w, 0.2
35, 41, X, x, 0.735
35, 46, X, x, 0.735
35, 48, X, x, 0.62
35, 49, X, x, 0.57
35, 50, X, x, 0.57
35, 52, X, x, 0.735
35, 53, X, w, 0.292
35, 54, X, x, 0.62
35, 57, X, x, 0.735
35, 61, X, x, 0.535
35, 63, X, w, 0.45
35, 64, X, x, 0.535
35, 65, X, w, 0.25
35, 67, X, x, 0.735
35, 71, X, x, 0.62
35, 74, X, x, 0.62
35, 76, X, x, 0.62
35, 78, X, x, 0.735
35, 79, X, w, 0.297
35, 81, X, w, 0.45
35, 88, X, w, 0.2
35, 92, X, w, 0.2
35, 94, X, w, 0.45
35, 97, X, x, 0.535
35, 100, X, w, 0.2
35, 102, X, w, 0.2
35, 107, X, w, 0.45
35, 108, X, x, 0.535
35, 110, X, x, 0.62
35, 111, X, x, 0.57
35, 121, X, w, 0.2
35, 124, X, x, 0.735
35, 126, X, w, 0.2
35, 129, X, w, 0.45
35, 133, X, w, 0.45
35, 136, X, x, 0.535
35, 139, X, w, 0.2
35, 141, X, w, 0.2
35, 146, X, w, 0.45
35, 147, X, w, 0.2
35, 148, X, w, 0.2
35, 155, X, x, 0.735
35, 157, X, x, 0.62
35, 159, X, w, 0.2
35, 161, X, w, 0.2
35, 162, X, w, 0.2
35, 165, X, x, 0.735
35, 170, X, w, 0.2
35, 174, X, w, 0.2
35, 175, X, w, 0.2
35, 179, X, x, 0.735
35, 180, X, w, 0.294
35, 181, X, x, 0.62
35, 182, X, w, 0.25
35, 189, X, w, 0.45
35, 190, X, w, 0.2
35, 192, X, w, 0.2
35, 193, X, w, 0.2
35, 197, X, w, 0.2
35, 199, X, x, 0.535
35, 202, X, x, 0.62
35, 208, X, w, 0.45
35, 209, X, w, 0.2
35, 210, X, w, 0.2
35, 211, X, x, 0.535
35, 212, X, w, 0.25
35, 213, X, x, 0.62
35, 215, X, w, 0.45
35, 216, X, w, 0.2
35, 220, X, w, 0.2
35, 223, X, x, 0.535
35, 229, X, w, 0.2
35, 231, X, w, 0.45
35, 232, X, w, 0.2
35, 233, X, w, 0.2
35, 237, X, w, 0.2
35, 238, X, x, 0.535
35, 240, X, w, 0.2
35, 243, X, w, 0.2
35, 247, X, w, 0.2
35, 248, X, x, 0.535
35, 251, X, x, 0.735
35, 253, X, w, 0.2
35, 257, X, w, 0.2
35, 258, X, w, 0.2
35, 259, X, w, 0.2
35, 262, X, w, 0.2
35, 263, X, w, 0.2
35, 269, X, w, 0.2
35, 272, X, x, 0.535
35, 274, X, w, 0.2
35, 279, X, w, 0.2
35, 282, X, x, 0.535
35, 288, X, w, 0.2
35, 298, X, w, 0.2
35, 301, X, x, 0.535
35, 304, X, w, 0.2
35, 305, X, w, 0.2
35, 307, X, x, 0.62
35, 309, X, w, 0.2
35, 312, X, x, 0.535
35, 313, X, w, 0.25
35, 317, X, x, 0.535
35, 320, X, w, 0.2
35, 323, X, x, 0.62
35, 324, X, w, 0.25
35, 327, X, x, 0.735
35, 329, X, w, 0.2
35, 330, X, x, 0.62
35, 332, X, x, 0.62
35, 333, X, x, 0.57
35, 334, X, w, 0.25
35, 336, X, x, 0.62
35, 337, X, w, 0.25
35, 341, X, x, 0.535
35, 342, X, w, 0.25
35, 350, X, w, 0.2
35, 363, X, x, 0.736
35, 364, X, w, 0.294
35, 371, X, x, 0.735
35, 375, X, x, 0.736
35, 376, X, w, 0.251
35, 377, X, w, 0.2
35, 386, X, x, 0.735
35, 390, X, w, 0.45
35, 393, X, x, 0.735
35, 394, X, w, 0.296
35, 395, X, w, 0.2
35, 401, X, x, 0.735
35, 402, X, w, 0.294
35, 404, X, w, 0.45
35, 405, X, w, 0.2
35, 407, X, x, 0.535
35, 409, X, x, 0.62
35, 411, X, x, 0.62
35, 415, X, x, 0.735
35, 416, X, w, 0.292
35, 417, X, w, 0.2
35, 422, X, w, 0.2
35, 423, X, w, 0.2
35, 424, X, x, 0.535
35, 425, X, x, 0.57
35, 426, X, w, 0.25
35, 427, X, w, 0.2
35, 428, X, x, 0.62
35, 437, X, w, 0.2
35, 438, X, w, 0.2
35, 443, X, x, 0.535
35, 444, X, w, 0.25
35, 445, X, w, 0.2
35, 456, X, w, 0.45
35, 459, X, x, 0.535
35, 460, X, x, 0.571
35, 462, X, w, 0.2
35, 463, X, w, 0.2
35, 465, X, w, 0.2
35, 473, X, w, 0.2
35, 483, X, x, 0.535
35, 486, X, w, 0.2
35, 487, X, x, 0.62
35, 488, X, w, 0.25
35, 493, X, w, 0.45
35, 494, X, w, 0.2
35, 498, X, x, 0.535
35, 499, X, x, 0.57
35, 500, X, x, 0.57
35, 501, X, w, 0.25
35, 502, X, w, 0.2
35, 503, X, w, 0.2
35, 509, X, w, 0.2
35, 510, X, x, 0.535
35, 511, X, w, 0.25
35, 515, X, w, 0.2
35, 519, X, x, 0.535
35, 523, X, x, 0.62
35, 524, X, x, 0.57
35, 525, X, x, 0.57
35, 526, X, w, 0.25
35, 527, X, w, 0.2
35, 529, X, w, 0.2
35, 530, X, w, 0.2
35, 531, X, w, 0.2
35, 537, X, x, 0.62
35, 542, X, w, 0.45
35, 543, X, x, 0.535
35, 546, X, w, 0.45
