participant, trial, stimulus, response, rt
92, 1, X, x, 0.785
92, 2, X, w, 0.288
92, 4, X, w, 0.45
92, 7, X, x, 0.735
92, 11, X, x, 0.735
92, 13, X, w, 0.2
92, 20, X, w, 0.45
92, 21, X, w, 0.2
92, 23, X, w, 0.2
92, 31, X, w, 0.45
92, 39, X, x, 0.735
92, 40, X, w, 0.287
92, 44, X, w, 0.45
92, 46, X, w, 0.45
92, 51, X, w, 0.45
92, 52, X, w, 0.2
92, 53, X, x, 0.535
92, 54, X, w, 0.25
92, 58, X, w, 0.45
92, 61, X, x, 0.735
92, 64, X, x, 0.735
92, 65, X, w, 0.293
92, 69, X, w, 0.2
92, 71, X, w, 0.2
92, 73, X, x, 0.62
92, 74, X, w, 0.25
92, 77, X, x, 0.735
92, 81, X, x, 0.535
92, 88, X, w, 0.45
92, 89, X, x, 0.535
92, 91, X, x, 0.736
92, 93, X, x, 0.62
92, 95, X, w, 0.2
92, 98, X, x, 0.735
92, 99, X, w, 0.296
92, 101, X, w, 0.2
92, 102, X, w, 0.2
92, 104, X, w, 0.2
92, 108, X, w, 0.45
92, 111, X, w, 0.2
92, 115, X, x, 0.535
92, 116, X, w, 0.25
92, 119, X, x, 0.736
92, 120, X, w, 0.295
92, 122, X, x, 0.62
92, 123, X, w, 0.25
92, 127, X, x, 0.535
92, 128, X, x, 0.57
92, 132, X, x, 0.535
92, 133, X, w, 0.25
92, 140, X, w, 0.45
92, 142, X, w, 0.2
92, 143, X, w, 0.2
92, 144, X, w, 0.2
92, 147, X, w, 0.2
92, 149, X, x, 0.735
92, 150, X, w, 0.294
92, 152, X, w, 0.2
92, 157, X, w, 0.45
92, 162, X, w, 0.45
92, 163, X, w, 0.2
92, 164, X, x, 0.535
92, 166, X, x, 0.62
92, 167, X, w, 0.25
92, 168, X, x, 0.62
92, 171, X, w, 0.2
92, 173, X, w, 0.45
92, 174, X, x, 0.535
92, 176, X, w, 0.2
92, 177, X, w, 0.2
92, 182, X, x, 0.535
92, 187, X, w, 0.45
92, 190, X, x, 0.535
92, 193, X, x, 0.735
92, 194, X, w, 0.252
92, 195, X, w, 0.2
92, 197, X, w, 0.2
92, 198, X, w, 0.2
92, 202, X, x, 0.62
92, 208, X, w, 0.2
92, 210, X, w, 0.2
92, 211, X, x, 0.535
92, 218, X, w, 0.2
92, 223, X, x, 0.535
