participant, trial, stimulus, response, rt
25, 3, X, x, 0.735
25, 4, X, w, 0.286
25, 5, X, x, 0.62
25, 10, X, x, 0.735
25, 12, X, x, 0.62
25, 13, X, w, 0.25
25, 15, X, x, 0.735
25, 16, X, w, 0.298
25, 19, X, x, 0.535
25, 20, X, x, 0.57
25, 23, X, x, 0.735
25, 25, X, w, 0.2
25, 32, X, x, 0.735
25, 33, X, w, 0.296
25, 35, X, x, 0.735
25, 36, X, w, 0.296
25, 37, X, x, 0.62
25, 38, X, x, 0.57
25, 39, X, x, 0.57
25, 48, X, x, 0.535
25, 50, X, w, 0.2
25, 52, X, w, 0.2
25, 58, X, w, 0.2
25, 59, X, x, 0.535
25, 63, X, w, 0.45
25, 68, X, x, 0.535
25, 70, X, x, 0.62
25, 74, X, w, 0.45
25, 81, X, w, 0.2
25, 85, X, x, 0.735
25, 89, X, x, 0.735
25, 96, X, x, 0.735
25, 97, X, w, 0.296
25, 105, X, w, 0.45
25, 106, X, w, 0.2
25, 107, X, x, 0.535
25, 113, X, w, 0.2
25, 114, X, x, 0.535
25, 116, X, x, 0.62
25, 117, X, x, 0.57
25, 120, X, w, 0.45
25, 123, X, w, 0.45
25, 125, X, x, 0.535
25, 129, X, w, 0.45
25, 137, X, x, 0.62
25, 139, X, x, 0.62
25, 140, X, w, 0.25
25, 141, X, w, 0.2
25, 145, X, w, 0.2
25, 146, X, x, 0.62
25, 148, X, x, 0.62
25, 152, X, w, 0.45
25, 154, X, w, 0.2
25, 157, X, w, 0.45
25, 163, X, x, 0.535
25, 164, X, x, 0.57
25, 165, X, x, 0.57
25, 169, X, x, 0.535
25, 171, X, x, 0.62
25, 172, X, x, 0.57
25, 173, X, w, 0.25
25, 175, X, w, 0.45
25, 178, X, x, 0.535
25, 182, X, w, 0.2
25, 186, X, w, 0.45
25, 190, X, x, 0.535
25, 191, X, x, 0.57
25, 195, X, x, 0.735
25, 196, X, w, 0.3
25, 198, X, w, 0.45
25, 203, X, x, 0.535
25, 217, X, w, 0.45
25, 218, X, x, 0.535
25, 219, X, w, 0.25
25, 221, X, w, 0.2
25, 222, X, x, 0.62
25, 223, X, w, 0.25
25, 226, X, x, 0.535
25, 228, X, w, 0.2
25, 232, X, x, 0.735
25, 237, X, w, 0.45
25, 238, X, x, 0.536
25, 239, X, w, 0.25
25, 242, X, x, 0.735
25, 244, X, w, 0.2
25, 245, X, x, 0.62
25, 248, X, x, 0.735
25, 250, X, w, 0.2
25, 251, X, w, 0.2
25, 253, X, x, 0.62
25, 260, X, x, 0.535
25, 263, X, w, 0.2
25, 265, X, w, 0.2
25, 271, X, x, 0.535
25, 279, X, w, 0.2
25, 283, X, x, 0.535
25, 284, X, x, 0.57
25, 285, X, x, 0.57
25, 293, X, x, 0.535
25, 297, X, w, 0.45
25, 299, X, w, 0.45
25, 300, X, x, 0.535
25, 305, X, x, 0.621
25, 306, X, w, 0.25
25, 308, X, w, 0.2
25, 310, X, w, 0.2
25, 312, X, x, 0.621
25, 315, X, x, 0.62
25, 316, X, w, 0.25
25, 319, X, x, 0.735
25, 325, X, w, 0.2
25, 326, X, x, 0.535
25, 327, X, x, 0.57
25, 329, X, x, 0.62
25, 332, X, x, 0.535
25, 335, X, w, 0.2
25, 336, X, w, 0.2
25, 337, X, x, 0.62
25, 340, X, x, 0.62
25, 341, X, w, 0.25
25, 343, X, w, 0.45
25, 351, X, x, 0.535
25, 353, X, w, 0.45
25, 354, X, x, 0.535
25, 356, X, w, 0.2
25, 358, X, x, 0.735
25, 362, X, x, 0.735
25, 364, X, w, 0.2
25, 365, X, w, 0.2
25, 367, X, w, 0.2
25, 370, X, x, 0.62
25, 373, X, w, 0.2
25, 381, X, x, 0.62
25, 382, X, w, 0.25
25, 386, X, w, 0.2
25, 387, X, w, 0.2
25, 389, X, w, 0.2
25, 390, X, x, 0.535
25, 397, X, w, 0.2
25, 400, X, w, 0.2
25, 410, X, w, 0.45
25, 411, X, x, 0.535
25, 413, X, w, 0.45
25, 415, X, w, 0.2
25, 418, X, x, 0.735
25, 422, X, x, 0.735
25, 426, X, w, 0.2
25, 427, X, w, 0.2
25, 431, X, w, 0.2
25, 432, X, w, 0.2
25, 433, X, w, 0.2
25, 441, X, w, 0.45
25, 448, X, w, 0.2
25, 453, X, w, 0.2
25, 458, X, w, 0.45
25, 459, X, x, 0.535
25, 460, X, w, 0.25
25, 464, X, w, 0.2
25, 467, X, w, 0.45
25, 471, X, w, 0.2
25, 473, X, w, 0.45
25, 476, X, w, 0.2
25, 481, X, w, 0.45
25, 483, X, x, 0.535
25, 487, X, w, 0.2
25, 488, X, x, 0.62
25, 496, X, x, 0.535
25, 498, X, w, 0.2
25, 501, X, w, 0.2
25, 502, X, w, 0.2
25, 506, X, x, 0.535
25, 507, X, w, 0.25
25, 509, X, w, 0.2
25, 511, X, w, 0.45
25, 512, X, w, 0.2
25, 514, X, w, 0.2
25, 519, X, w, 0.2
25, 521, X, x, 0.535
25, 522, X, w, 0.25
25, 532, X, w, 0.2
25, 533, X, x, 0.535
25, 536, X, w, 0.2
25, 538, X, x, 0.62
25, 539, X, w, 0.25
25, 544, X, w, 0.2
25, 546, X, w, 0.2
25, 547, X, w, 0.2
25, 549, X, w, 0.2
25, 551, X, x, 0.535
25, 555, X, w, 0.2
25, 556, X, x, 0.535
25, 569, X, x, 0.535
25, 571, X, x, 0.571
25, 572, X, w, 0.25
25, 573, X, x, 0.62
25, 576, X, w, 0.2
25, 579, X, x, 0.735
25, 580, X, w, 0.298
25, 581, X, w, 0.2
25, 583, X, x, 0.735
25, 584, X, w, 0.298
25, 588, X, w, 0.2
25, 591, X, x, 0.535
25, 595, X, w, 0.2
25, 596, X, w, 0.2
25, 601, X, w, 0.2
25, 606, X, x, 0.535
25, 610, X, w, 0.45
25, 611, X, x, 0.535
25, 612, X, x, 0.571
25, 613, X, x, 0.57
25, 616, X, w, 0.2
25, 618, X, w, 0.2
25, 623, X, w, 0.2
25, 625, X, w, 0.2
25, 626, X, w, 0.2
25, 627, X, w, 0.2
25, 630, X, w, 0.2
25, 635, X, x, 0.735
25, 636, X, w, 0.298
25, 637, X, w, 0.2
25, 639, X, x, 0.735
25, 643, X, x, 0.62
25, 646, X, w, 0.2
25, 650, X, x, 0.535
25, 651, X, w, 0.25
25, 655, X, w, 0.2
25, 658, X, w, 0.2
25, 660, X, w, 0.2
25, 661, X, w, 0.2
25, 666, X, x, 0.535
25, 676, X, x, 0.535
25, 681, X, w, 0.45
25, 684, X, w, 0.2
25, 688, X, w, 0.2
25, 690, X, x, 0.535
25, 698, X, w, 0.2
25, 702, X, w, 0.2
25, 707, X, w, 0.45
25, 711, X, w, 0.45
25, 713, X, w, 0.2
25, 715, X, w, 0.2
25, 726, X, w, 0.2
25, 727, X, w, 0.2
25, 729, X, w, 0.2
25, 732, X, w, 0.45
25, 736, X, w, 0.45
25, 738, X, w, 0.2
25, 740, X, w, 0.45
25, 743, X, w, 0.2
25, 744, X, w, 0.2
25, 745, X, x, 0.535
25, 746, X, w, 0.25
25, 754, X, w, 0.2
25, 757, X, w, 0.45
25, 761, X, x, 0.62
25, 763, X, w, 0.2
25, 764, X, w, 0.2
25, 765, X, w, 0.2
25, 766, X, x, 0.62
25, 768, X, x, 0.62
25, 771, X, x, 0.621
25, 772, X, x, 0.57
25, 773, X, w, 0.25
25, 779, X, x, 0.735
25, 783, X, w, 0.2
25, 784, X, w, 0.2
25, 785, X, w, 0.2
25, 788, X, x, 0.535
25, 789, X, w, 0.25
25, 791, X, w, 0.45
25, 795, X, w, 0.2
25, 798, X, w, 0.2
25, 799, X, w, 0.2
25, 802, X, x, 0.735
25, 805, X, x, 0.735
25, 808, X, w, 0.2
25, 809, X, x, 0.62
25, 811, X, w, 0.2
25, 814, X, w, 0.2
25, 815, X, w, 0.2
25, 826, X, w, 0.2
25, 827, X, w, 0.2
25, 829, X, w, 0.2
25, 832, X, w, 0.2
25, 835, X, w, 0.2
25, 837, X, w, 0.2
25, 840, X, x, 0.535
25, 841, X, w, 0.25
25, 846, X, w, 0.45
25, 847, X, x, 0.536
25, 852, X, w, 0.2
25, 853, X, w, 0.2
25, 856, X, w, 0.2
25, 857, X, w, 0.2
25, 858, X, w, 0.2
25, 859, X, w, 0.2
25, 860, X, w, 0.2
25, 861, X, x, 0.62
25, 862, X, w, 0.25
25, 865, X, w, 0.2
25, 866, X, w, 0.2
25, 867, X, w, 0.2
25, 868, X, w, 0.2
25, 869, X, w, 0.2
25, 871, X, w, 0.2
25, 878, X, w, 0.2
25, 881, X, x, 0.735
25, 884, X, x, 0.62
25, 885, X, w, 0.25
25, 887, X, w, 0.2
25, 888, X, w, 0.2
25, 890, X, x, 0.62
25, 891, X, w, 0.25
25, 893, X, x, 0.62
25, 896, X, w, 0.2
25, 897, X, w, 0.2
25, 899, X, w, 0.45
25, 903, X, w, 0.2
25, 908, X, w, 0.2
25, 911, X, w, 0.2
25, 916, X, w, 0.45
25, 918, X, w, 0.45
25, 921, X, x, 0.535
25, 928, X, w, 0.2
25, 934, X, w, 0.2
25, 940, X, w, 0.2
25, 946, X, w, 0.45
25, 949, X, w, 0.2
25, 953, X, w, 0.2
25, 955, X, w, 0.2
25, 958, X, w, 0.2
25, 959, X, w, 0.2
25, 961, X, x, 0.535
25, 975, X, w, 0.2
25, 977, X, w, 0.2
25, 978, X, x, 0.535
25, 980, X, w, 0.2
25, 984, X, w, 0.2
25, 987, X, w, 0.2
25, 988, X, x, 0.535
25, 992, X, w, 0.45
25, 993, X, x, 0.535
25, 994, X, w, 0.25
25, 995, X, x, 0.62
25, 998, X, w, 0.45
25, 1001, X, w, 0.2
25, 1003, X, w, 0.45
25, 1008, X, x, 0.535
25, 1012, X, x, 0.535
25, 1013, X, w, 0.25
25, 1015, X, x, 0.621
25, 1016, X, w, 0.25
25, 1017, X, w, 0.2
25, 1019, X, w, 0.2
25, 1024, X, x, 0.535
25, 1028, X, w, 0.45
25, 1030, X, w, 0.2
25, 1031, X, w, 0.2
25, 1033, X, w, 0.45
25, 1034, X, x, 0.535
25, 1038, X, w, 0.45
25, 1039, X, x, 0.535
25, 1041, X, w, 0.2
25, 1042, X, x, 0.62
25, 1047, X, w, 0.2
25, 1052, X, x, 0.535
25, 1055, X, w, 0.2
25, 1056, X, x, 0.535
25, 1060, X, w, 0.2
25, 1061, X, w, 0.2
25, 1063, X, w, 0.2
25, 1064, X, w, 0.2
25, 1065, X, w, 0.2
25, 1071, X, w, 0.2
25, 1072, X, w, 0.2
25, 1074, X, w, 0.45
25, 1075, X, w, 0.2
25, 1077, X, w, 0.2
25, 1078, X, x, 0.535
25, 1080, X, w, 0.45
25, 1084, X, w, 0.2
25, 1090, X, w, 0.45
25, 1091, X, w, 0.2
25, 1093, X, w, 0.2
25, 1094, X, x, 0.535
25, 1106, X, w, 0.45
25, 1108, X, x, 0.535
25, 1115, X, x, 0.62
25, 1116, X, w, 0.25
25, 1118, X, w, 0.2
25, 1119, X, w, 0.2
25, 1122, X, x, 0.735
25, 1125, X, w, 0.2
25, 1126, X, x, 0.62
25, 1132, X, w, 0.2
25, 1135, X, x, 0.535
25, 1140, X, w, 0.2
25, 1143, X, w, 0.2
25, 1144, X, w, 0.2
25, 1145, X, w, 0.2
25, 1151, X, w, 0.2
25, 1153, X, x, 0.535
25, 1154, X, w, 0.25
25, 1155, X, w, 0.2
25, 1157, X, w, 0.2
25, 1163, X, w, 0.45
25, 1165, X, w, 0.2
25, 1167, X, w, 0.2
25, 1170, X, x, 0.535
25, 1172, X, w, 0.2
25, 1175, X, w, 0.2
25, 1178, X, w, 0.2
25, 1179, X, w, 0.2
25, 1181, X, w, 0.2
25, 1185, X, w, 0.2
25, 1186, X, x, 0.535
25, 1194, X, w, 0.2
25, 1196, X, x, 0.62
25, 1199, X, x, 0.621
25, 1200, X, w, 0.25
25, 1203, X, w, 0.2
25, 1205, X, w, 0.45
25, 1209, X, x, 0.536
25, 1213, X, w, 0.2
25, 1214, X, w, 0.2
25, 1215, X, w, 0.2
25, 1218, X, x, 0.535
25, 1220, X, w, 0.2
25, 1223, X, w, 0.2
25, 1226, X, w, 0.2
25, 1237, X, w, 0.2
25, 1238, X, w, 0.2
25, 1243, X, x, 0.535
25, 1244, X, w, 0.25
25, 1245, X, x, 0.62
25, 1247, X, w, 0.2
25, 1248, X, x, 0.62
25, 1249, X, w, 0.25
25, 1250, X, w, 0.2
25, 1251, X, x, 0.62
25, 1259, X, x, 0.735
25, 1260, X, w, 0.297
25, 1263, X, x, 0.735
25, 1264, X, w, 0.296
25, 1266, X, x, 0.62
25, 1267, X, w, 0.25
25, 1269, X, x, 0.62
25, 1271, X, w, 0.2
25, 1273, X, w, 0.45
25, 1276, X, w, 0.2
25, 1280, X, w, 0.2
25, 1283, X, w, 0.2
25, 1287, X, w, 0.2
25, 1290, X, w, 0.2
25, 1292, X, w, 0.2
25, 1299, X, w, 0.2
25, 1300, X, w, 0.2
25, 1308, X, w, 0.2
25, 1310, X, w, 0.2
25, 1318, X, w, 0.2
25, 1319, X, x, 0.535
25, 1320, X, w, 0.25
25, 1323, X, w, 0.2
25, 1325, X, w, 0.2
25, 1326, X, x, 0.62
25, 1328, X, x, 0.62
25, 1332, X, w, 0.45
25, 1337, X, x, 0.535
25, 1342, X, w, 0.2
25, 1343, X, w, 0.2
25, 1347, X, w, 0.2
25, 1348, X, w, 0.2
25, 1353, X, w, 0.2
25, 1354, X, w, 0.2
25, 1356, X, w, 0.2
25, 1357, X, w, 0.2
25, 1359, X, w, 0.2
25, 1368, X, w, 0.2
25, 1371, X, x, 0.535
