participant, trial, stimulus, response, rt
21, 1, X, x, 0.785
21, 3, X, x, 0.62
21, 5, X, x, 0.62
21, 8, X, x, 0.735
21, 12, X, x, 0.736
21, 15, X, w, 0.45
21, 17, X, x, 0.735
21, 19, X, x, 0.62
21, 23, X, x, 0.535
21, 24, X, x, 0.57
21, 27, X, x, 0.535
21, 29, X, x, 0.735
21, 30, X, w, 0.292
21, 36, X, w, 0.45
21, 47, X, x, 0.535
21, 58, X, x, 0.735
21, 60, X, w, 0.2
21, 62, X, x, 0.535
21, 64, X, x, 0.735
21, 65, X, w, 0.299
21, 68, X, w, 0.2
21, 69, X, w, 0.2
21, 70, X, x, 0.535
21, 72, X, w, 0.2
21, 74, X, w, 0.45
21, 79, X, x, 0.735
21, 80, X, w, 0.298
21, 82, X, x, 0.735
21, 83, X, w, 0.298
21, 84, X, x, 0.62
21, 89, X, x, 0.735
21, 94, X, x, 0.535
21, 99, X, w, 0.45
21, 101, X, w, 0.45
21, 102, X, w, 0.2
21, 111, X, w, 0.45
21, 113, X, w, 0.45
21, 115, X, x, 0.735
21, 121, X, w, 0.2
21, 126, X, x, 0.82
21, 127, X, w, 0.284
21, 128, X, x, 0.62
21, 130, X, x, 0.735
21, 131, X, w, 0.299
21, 133, X, x, 0.535
21, 134, X, w, 0.25
21, 135, X, w, 0.2
21, 136, X, w, 0.2
21, 137, X, w, 0.2
21, 139, X, x, 0.62
21, 145, X, x, 0.735
21, 147, X, w, 0.2
21, 148, X, x, 0.62
21, 152, X, x, 0.736
21, 156, X, x, 0.62
21, 160, X, x, 0.535
21, 161, X, x, 0.571
21, 167, X, w, 0.2
21, 168, X, x, 0.535
21, 169, X, x, 0.57
21, 179, X, x, 0.535
21, 182, X, w, 0.2
21, 186, X, x, 0.62
21, 189, X, w, 0.45
21, 190, X, x, 0.536
21, 192, X, x, 0.62
21, 194, X, w, 0.45
21, 197, X, x, 0.535
21, 199, X, w, 0.2
21, 201, X, x, 0.735
21, 204, X, x, 0.62
21, 206, X, w, 0.45
21, 208, X, w, 0.2
21, 210, X, x, 0.735
21, 215, X, x, 0.62
21, 216, X, w, 0.25
21, 217, X, w, 0.2
21, 218, X, x, 0.62
21, 220, X, w, 0.2
21, 227, X, x, 0.62
21, 228, X, w, 0.25
21, 229, X, w, 0.2
21, 230, X, x, 0.62
21, 236, X, x, 0.535
21, 237, X, w, 0.25
21, 238, X, w, 0.2
21, 241, X, w, 0.45
21, 244, X, x, 0.735
21, 248, X, x, 0.62
21, 250, X, w, 0.2
21, 252, X, w, 0.45
21, 255, X, w, 0.45
21, 256, X, w, 0.2
21, 257, X, w, 0.2
21, 262, X, w, 0.2
21, 265, X, w, 0.45
21, 267, X, w, 0.2
21, 270, X, x, 0.735
21, 275, X, w, 0.2
21, 276, X, x, 0.535
21, 277, X, x, 0.57
21, 278, X, x, 0.571
21, 280, X, x, 0.62
21, 281, X, x, 0.57
21, 283, X, w, 0.25
21, 288, X, w, 0.45
21, 290, X, x, 0.535
21, 296, X, x, 0.535
21, 297, X, w, 0.25
21, 302, X, x, 0.535
21, 305, X, x, 0.62
21, 315, X, w, 0.2
21, 316, X, w, 0.2
21, 317, X, w, 0.2
21, 319, X, x, 0.735
21, 321, X, w, 0.2
21, 325, X, w, 0.45
21, 327, X, w, 0.45
21, 331, X, w, 0.45
21, 333, X, w, 0.2
21, 334, X, x, 0.535
21, 335, X, x, 0.57
21, 336, X, x, 0.57
21, 338, X, x, 0.62
21, 340, X, w, 0.45
21, 341, X, x, 0.535
21, 342, X, x, 0.57
21, 343, X, x, 0.57
21, 344, X, w, 0.25
21, 346, X, w, 0.2
21, 347, X, x, 0.621
21, 354, X, x, 0.535
21, 358, X, x, 0.735
21, 360, X, w, 0.2
21, 364, X, w, 0.45
21, 367, X, w, 0.45
21, 369, X, w, 0.2
21, 371, X, x, 0.735
21, 373, X, x, 0.62
21, 374, X, w, 0.25
21, 375, X, w, 0.2
21, 376, X, w, 0.2
21, 379, X, x, 0.62
21, 382, X, x, 0.62
21, 385, X, x, 0.62
21, 386, X, w, 0.25
21, 391, X, w, 0.45
21, 395, X, x, 0.735
21, 401, X, x, 0.535
21, 402, X, w, 0.25
21, 403, X, x, 0.62
21, 406, X, x, 0.535
21, 407, X, w, 0.25
21, 411, X, x, 0.621
21, 414, X, w, 0.45
21, 415, X, x, 0.535
21, 418, X, x, 0.735
21, 429, X, w, 0.2
21, 433, X, x, 0.535
21, 434, X, w, 0.25
21, 440, X, x, 0.621
21, 448, X, w, 0.2
21, 449, X, w, 0.2
21, 451, X, w, 0.2
21, 452, X, w, 0.2
21, 455, X, x, 0.735
21, 459, X, x, 0.735
21, 463, X, x, 0.735
21, 470, X, x, 0.735
