participant, trial, stimulus, response, rt
16, 1, X, x, 0.785
16, 3, X, x, 0.735
16, 9, X, w, 0.45
16, 15, X, x, 0.735
16, 28, X, x, 0.735
16, 29, X, w, 0.298
16, 39, X, w, 0.45
16, 40, X, x, 0.535
16, 41, X, w, 0.25
16, 45, X, w, 0.2
16, 50, X, x, 0.535
16, 51, X, w, 0.25
16, 53, X, x, 0.535
16, 56, X, x, 0.535
16, 57, X, w, 0.25
16, 59, X, x, 0.621
16, 61, X, x, 0.735
16, 63, X, x, 0.62
16, 65, X, w, 0.25
16, 66, X, w, 0.2
16, 67, X, w, 0.2
16, 68, X, x, 0.535
16, 69, X, w, 0.25
16, 73, X, w, 0.45
16, 77, X, x, 0.535
16, 81, X, x, 0.535
16, 82, X, w, 0.25
16, 83, X, w, 0.2
16, 86, X, x, 0.62
16, 89, X, w, 0.45
16, 91, X, x, 0.535
16, 92, X, x, 0.57
16, 94, X, w, 0.45
16, 96, X, w, 0.2
16, 97, X, w, 0.2
16, 111, X, w, 0.2
16, 113, X, x, 0.735
16, 115, X, x, 0.62
16, 116, X, w, 0.25
16, 119, X, w, 0.2
16, 121, X, w, 0.45
16, 122, X, x, 0.535
16, 124, X, x, 0.62
16, 126, X, w, 0.45
16, 127, X, w, 0.2
16, 132, X, w, 0.45
16, 134, X, x, 0.735
16, 136, X, x, 0.62
16, 143, X, w, 0.45
16, 150, X, w, 0.2
16, 152, X, w, 0.45
16, 153, X, x, 0.535
16, 160, X, w, 0.2
16, 163, X, w, 0.45
16, 164, X, x, 0.536
16, 165, X, w, 0.25
16, 166, X, x, 0.62
16, 170, X, x, 0.535
16, 171, X, x, 0.57
16, 173, X, x, 0.735
16, 176, X, w, 0.45
16, 177, X, x, 0.535
16, 179, X, w, 0.2
16, 180, X, x, 0.62
16, 181, X, w, 0.25
16, 191, X, w, 0.45
16, 193, X, w, 0.2
16, 197, X, x, 0.535
16, 206, X, x, 0.62
16, 207, X, x, 0.57
16, 208, X, w, 0.25
16, 213, X, x, 0.62
16, 215, X, w, 0.2
16, 219, X, w, 0.45
16, 221, X, w, 0.45
16, 222, X, x, 0.535
16, 224, X, w, 0.2
16, 226, X, w, 0.45
16, 231, X, w, 0.45
16, 233, X, x, 0.535
16, 235, X, w, 0.45
16, 238, X, w, 0.2
16, 239, X, x, 0.535
16, 241, X, x, 0.735
16, 242, X, w, 0.294
16, 246, X, x, 0.735
16, 247, X, w, 0.298
16, 252, X, x, 0.736
16, 253, X, w, 0.296
16, 256, X, w, 0.2
16, 258, X, w, 0.45
16, 259, X, w, 0.2
16, 260, X, w, 0.2
16, 262, X, x, 0.735
16, 263, X, w, 0.295
16, 264, X, x, 0.62
16, 266, X, x, 0.735
16, 269, X, x, 0.62
16, 271, X, w, 0.45
16, 272, X, w, 0.2
16, 276, X, w, 0.2
16, 278, X, w, 0.45
16, 282, X, w, 0.45
16, 287, X, w, 0.2
16, 288, X, x, 0.535
16, 293, X, w, 0.2
16, 297, X, x, 0.735
16, 301, X, w, 0.2
16, 311, X, x, 0.735
16, 312, X, w, 0.294
16, 313, X, x, 0.62
16, 320, X, x, 0.735
16, 322, X, x, 0.62
16, 324, X, x, 0.62
16, 331, X, w, 0.2
16, 333, X, w, 0.45
16, 334, X, w, 0.2
16, 336, X, w, 0.2
16, 339, X, w, 0.2
16, 340, X, x, 0.535
16, 345, X, x, 0.535
16, 348, X, w, 0.45
16, 349, X, x, 0.535
16, 352, X, x, 0.535
16, 356, X, w, 0.2
16, 360, X, x, 0.62
16, 364, X, w, 0.2
16, 367, X, w, 0.45
16, 370, X, x, 0.535
16, 371, X, x, 0.57
16, 373, X, w, 0.45
16, 376, X, w, 0.2
16, 379, X, w, 0.2
16, 380, X, x, 0.535
16, 381, X, w, 0.25
16, 382, X, w, 0.2
16, 386, X, w, 0.2
16, 390, X, w, 0.2
16, 391, X, w, 0.2
16, 394, X, x, 0.535
16, 395, X, x, 0.57
16, 396, X, w, 0.25
16, 398, X, x, 0.62
16, 399, X, w, 0.25
16, 400, X, x, 0.621
16, 401, X, x, 0.57
16, 402, X, w, 0.25
16, 403, X, w, 0.2
16, 407, X, x, 0.535
16, 408, X, w, 0.25
16, 412, X, x, 0.62
16, 414, X, x, 0.62
16, 421, X, w, 0.45
16, 426, X, x, 0.535
16, 428, X, x, 0.62
16, 429, X, w, 0.25
16, 430, X, w, 0.2
16, 435, X, w, 0.2
16, 438, X, x, 0.735
16, 439, X, w, 0.294
16, 445, X, w, 0.2
16, 446, X, w, 0.2
16, 448, X, w, 0.2
16, 451, X, w, 0.45
16, 457, X, w, 0.2
16, 459, X, x, 0.535
16, 461, X, w, 0.2
16, 466, X, w, 0.45
16, 469, X, w, 0.2
16, 470, X, x, 0.535
16, 474, X, w, 0.45
16, 475, X, x, 0.535
16, 477, X, x, 0.62
16, 480, X, w, 0.2
16, 487, X, w, 0.2
16, 488, X, x, 0.535
16, 489, X, w, 0.25
16, 491, X, w, 0.45
16, 493, X, x, 0.535
16, 494, X, w, 0.25
16, 495, X, w, 0.2
16, 496, X, w, 0.2
16, 497, X, w, 0.2
16, 498, X, x, 0.62
16, 512, X, x, 0.535
16, 515, X, w, 0.45
16, 518, X, w, 0.45
16, 521, X, w, 0.2
16, 522, X, x, 0.536
16, 524, X, w, 0.45
16, 525, X, w, 0.2
16, 528, X, x, 0.535
16, 533, X, w, 0.2
16, 534, X, x, 0.535
16, 538, X, w, 0.2
16, 542, X, w, 0.2
16, 547, X, x, 0.735
16, 548, X, w, 0.293
16, 549, X, w, 0.2
16, 555, X, x, 0.735
16, 557, X, x, 0.62
16, 558, X, w, 0.25
16, 561, X, w, 0.2
16, 562, X, w, 0.2
16, 563, X, w, 0.2
16, 564, X, w, 0.2
16, 578, X, w, 0.2
16, 581, X, x, 0.62
16, 584, X, w, 0.2
16, 587, X, w, 0.2
16, 589, X, x, 0.621
16, 590, X, w, 0.25
16, 593, X, x, 0.62
16, 594, X, x, 0.57
16, 595, X, w, 0.25
16, 598, X, x, 0.535
16, 600, X, w, 0.2
16, 606, X, w, 0.2
16, 607, X, w, 0.2
16, 608, X, x, 0.536
16, 609, X, w, 0.25
16, 611, X, x, 0.735
16, 612, X, w, 0.3
16, 613, X, w, 0.2
16, 616, X, w, 0.2
16, 617, X, x, 0.535
16, 619, X, w, 0.2
16, 623, X, w, 0.2
16, 624, X, w, 0.2
16, 626, X, x, 0.736
16, 630, X, x, 0.735
16, 640, X, w, 0.45
16, 641, X, w, 0.2
16, 643, X, w, 0.2
16, 645, X, w, 0.45
16, 648, X, w, 0.45
16, 649, X, w, 0.2
16, 660, X, x, 0.535
16, 661, X, x, 0.57
16, 663, X, x, 0.735
16, 664, X, w, 0.3
16, 666, X, x, 0.62
16, 668, X, w, 0.2
16, 669, X, w, 0.2
16, 677, X, w, 0.45
16, 678, X, x, 0.535
16, 680, X, w, 0.2
16, 686, X, w, 0.45
16, 687, X, x, 0.535
16, 691, X, w, 0.2
16, 696, X, w, 0.45
16, 697, X, w, 0.2
16, 698, X, w, 0.2
16, 701, X, x, 0.535
16, 702, X, x, 0.57
16, 714, X, w, 0.45
16, 715, X, x, 0.535
16, 716, X, x, 0.57
16, 726, X, w, 0.2
16, 730, X, w, 0.2
16, 738, X, w, 0.2
16, 739, X, w, 0.2
16, 746, X, w, 0.45
16, 747, X, w, 0.2
16, 758, X, x, 0.735
16, 759, X, w, 0.296
16, 761, X, w, 0.2
16, 762, X, w, 0.2
16, 767, X, w, 0.45
16, 769, X, w, 0.2
16, 770, X, w, 0.2
16, 771, X, w, 0.2
16, 772, X, x, 0.535
16, 774, X, w, 0.2
16, 775, X, w, 0.2
16, 777, X, w, 0.2
16, 778, X, x, 0.62
16, 779, X, w, 0.25
16, 786, X, x, 0.735
16, 790, X, x, 0.62
16, 793, X, w, 0.45
16, 794, X, w, 0.2
16, 809, X, w, 0.2
16, 813, X, w, 0.2
16, 820, X, x, 0.535
16, 822, X, w, 0.2
16, 827, X, w, 0.2
16, 835, X, w, 0.45
16, 836, X, w, 0.2
16, 837, X, w, 0.2
16, 841, X, x, 0.535
16, 844, X, w, 0.2
16, 845, X, w, 0.2
16, 846, X, w, 0.2
16, 847, X, w, 0.2
16, 849, X, w, 0.2
16, 855, X, w, 0.45
16, 862, X, w, 0.2
16, 865, X, x, 0.735
16, 868, X, w, 0.2
16, 869, X, x, 0.62
16, 873, X, w, 0.2
16, 874, X, w, 0.2
16, 883, X, w, 0.2
16, 885, X, w, 0.2
16, 886, X, w, 0.2
16, 890, X, w, 0.2
16, 893, X, x, 0.535
16, 894, X, w, 0.25
16, 895, X, w, 0.2
16, 900, X, x, 0.535
16, 902, X, x, 0.735
16, 909, X, x, 0.735
16, 914, X, w, 0.2
16, 915, X, w, 0.2
16, 917, X, w, 0.2
16, 920, X, w, 0.2
16, 922, X, x, 0.735
16, 927, X, x, 0.535
16, 928, X, w, 0.25
16, 930, X, w, 0.45
16, 934, X, w, 0.2
16, 936, X, w, 0.2
16, 939, X, x, 0.535
16, 941, X, w, 0.2
16, 942, X, w, 0.2
16, 947, X, w, 0.2
16, 948, X, w, 0.2
16, 950, X, w, 0.45
16, 952, X, w, 0.45
16, 953, X, w, 0.2
16, 960, X, w, 0.2
16, 963, X, x, 0.535
16, 964, X, x, 0.57
16, 969, X, w, 0.2
16, 970, X, w, 0.2
16, 971, X, x, 0.62
16, 974, X, x, 0.535
16, 975, X, x, 0.57
16, 978, X, w, 0.2
16, 979, X, w, 0.2
16, 986, X, x, 0.735
16, 989, X, w, 0.45
16, 991, X, w, 0.2
16, 996, X, w, 0.2
16, 998, X, x, 0.735
16, 1000, X, w, 0.2
16, 1002, X, x, 0.735
16, 1005, X, w, 0.2
16, 1007, X, w, 0.2
16, 1009, X, w, 0.2
16, 1015, X, w, 0.45
16, 1020, X, w, 0.45
16, 1021, X, w, 0.2
