participant, trial, stimulus, response, rt
71, 3, X, w, 0.45
71, 4, X, x, 0.535
71, 7, X, x, 0.62
71, 9, X, x, 0.735
71, 12, X, w, 0.45
71, 15, X, w, 0.45
71, 18, X, x, 0.735
71, 21, X, x, 0.62
71, 22, X, w, 0.25
71, 24, X, x, 0.62
71, 25, X, w, 0.25
71, 26, X, x, 0.621
71, 27, X, x, 0.57
71, 30, X, w, 0.2
71, 31, X, x, 0.535
71, 35, X, x, 0.535
71, 36, X, x, 0.57
71, 37, X, w, 0.25
71, 39, X, w, 0.2
71, 41, X, x, 0.735
71, 43, X, x, 0.62
71, 46, X, x, 0.735
71, 48, X, x, 0.62
71, 54, X, x, 0.535
71, 57, X, w, 0.45
71, 59, X, w, 0.2
71, 60, X, w, 0.2
71, 63, X, w, 0.45
71, 65, X, w, 0.2
71, 68, X, x, 0.735
71, 70, X, w, 0.2
71, 72, X, x, 0.735
71, 78, X, x, 0.535
71, 82, X, w, 0.2
71, 83, X, x, 0.535
71, 84, X, w, 0.25
71, 86, X, w, 0.2
71, 89, X, w, 0.45
71, 91, X, x, 0.735
71, 93, X, w, 0.2
71, 94, X, x, 0.62
71, 96, X, x, 0.62
71, 97, X, x, 0.57
71, 99, X, w, 0.45
71, 102, X, w, 0.2
71, 103, X, x, 0.62
71, 105, X, w, 0.2
71, 108, X, x, 0.735
71, 110, X, w, 0.2
71, 116, X, w, 0.45
71, 120, X, w, 0.45
71, 128, X, w, 0.2
71, 140, X, w, 0.2
71, 148, X, w, 0.45
71, 150, X, x, 0.535
71, 152, X, w, 0.2
71, 160, X, w, 0.2
71, 171, X, w, 0.2
71, 174, X, w, 0.2
71, 175, X, x, 0.535
71, 177, X, x, 0.735
71, 188, X, w, 0.2
71, 189, X, x, 0.535
71, 192, X, w, 0.45
71, 193, X, x, 0.535
71, 194, X, w, 0.25
71, 195, X, w, 0.2
71, 203, X, w, 0.45
71, 204, X, w, 0.2
71, 205, X, w, 0.2
71, 206, X, w, 0.2
71, 207, X, x, 0.535
71, 213, X, x, 0.735
71, 219, X, x, 0.735
71, 220, X, w, 0.3
71, 224, X, x, 0.62
71, 225, X, x, 0.57
71, 230, X, w, 0.2
71, 231, X, w, 0.2
71, 234, X, x, 0.535
71, 239, X, x, 0.735
71, 241, X, x, 0.62
71, 243, X, w, 0.45
71, 245, X, w, 0.2
71, 250, X, x, 0.535
71, 251, X, x, 0.57
71, 257, X, x, 0.535
71, 258, X, x, 0.57
71, 261, X, w, 0.45
71, 264, X, w, 0.2
71, 265, X, x, 0.535
71, 266, X, w, 0.25
71, 268, X, w, 0.2
71, 270, X, x, 0.62
71, 273, X, x, 0.62
71, 274, X, w, 0.25
71, 276, X, w, 0.2
71, 282, X, w, 0.2
71, 283, X, w, 0.2
71, 284, X, w, 0.2
71, 290, X, w, 0.45
71, 291, X, x, 0.535
71, 296, X, w, 0.2
71, 297, X, x, 0.535
71, 299, X, w, 0.45
71, 300, X, w, 0.2
71, 301, X, w, 0.2
71, 302, X, x, 0.535
