participant, trial, stimulus, response, rt
46, 1, X, x, 0.785
46, 6, X, x, 0.735
46, 10, X, w, 0.45
46, 12, X, w, 0.2
46, 13, X, x, 0.535
46, 14, X, w, 0.25
46, 16, X, w, 0.45
46, 23, X, x, 0.735
46, 25, X, x, 0.62
46, 28, X, x, 0.735
46, 33, X, x, 0.735
46, 43, X, w, 0.45
46, 52, X, w, 0.2
46, 53, X, w, 0.2
46, 62, X, w, 0.45
46, 65, X, w, 0.45
46, 70, X, x, 0.735
46, 73, X, x, 0.735
46, 74, X, w, 0.296
46, 75, X, x, 0.62
46, 77, X, x, 0.57
46, 78, X, x, 0.57
46, 81, X, x, 0.62
46, 92, X, x, 0.535
46, 100, X, x, 0.735
46, 102, X, w, 0.2
46, 105, X, w, 0.45
46, 109, X, w, 0.45
46, 112, X, w, 0.45
46, 114, X, w, 0.45
46, 116, X, w, 0.2
46, 119, X, x, 0.535
46, 121, X, w, 0.25
46, 124, X, x, 0.735
46, 125, X, w, 0.298
46, 126, X, w, 0.2
46, 130, X, x, 0.735
46, 131, X, w, 0.252
46, 133, X, x, 0.735
46, 134, X, w, 0.298
46, 135, X, w, 0.2
46, 136, X, w, 0.2
46, 142, X, w, 0.45
46, 143, X, x, 0.535
46, 144, X, x, 0.57
46, 147, X, w, 0.45
46, 148, X, x, 0.535
46, 150, X, w, 0.2
46, 153, X, x, 0.735
46, 155, X, w, 0.2
46, 156, X, x, 0.62
46, 161, X, x, 0.535
46, 168, X, w, 0.2
46, 170, X, w, 0.45
46, 171, X, x, 0.535
46, 173, X, w, 0.2
46, 179, X, w, 0.2
46, 182, X, w, 0.45
46, 188, X, x, 0.535
46, 192, X, x, 0.62
46, 193, X, x, 0.571
46, 197, X, x, 0.62
46, 200, X, x, 0.735
46, 202, X, w, 0.2
46, 203, X, w, 0.2
46, 204, X, w, 0.2
46, 205, X, w, 0.2
46, 212, X, w, 0.45
46, 214, X, w, 0.2
46, 219, X, x, 0.535
46, 220, X, x, 0.572
46, 221, X, x, 0.57
46, 225, X, w, 0.2
46, 227, X, x, 0.535
46, 232, X, w, 0.2
46, 236, X, x, 0.535
46, 237, X, w, 0.25
46, 240, X, w, 0.2
46, 241, X, x, 0.62
46, 243, X, w, 0.45
46, 250, X, x, 0.735
46, 253, X, w, 0.2
46, 256, X, x, 0.62
46, 257, X, w, 0.25
46, 260, X, x, 0.62
46, 265, X, w, 0.45
46, 278, X, x, 0.62
46, 279, X, x, 0.57
46, 280, X, x, 0.57
46, 282, X, w, 0.45
46, 284, X, w, 0.45
46, 290, X, w, 0.2
46, 291, X, x, 0.535
46, 298, X, w, 0.45
46, 299, X, x, 0.536
46, 301, X, x, 0.735
46, 306, X, w, 0.2
46, 313, X, x, 0.535
46, 314, X, w, 0.25
46, 316, X, x, 0.62
46, 321, X, w, 0.45
46, 324, X, x, 0.535
46, 329, X, w, 0.2
46, 331, X, x, 0.735
46, 332, X, w, 0.297
46, 336, X, w, 0.2
46, 339, X, w, 0.2
46, 341, X, w, 0.2
46, 343, X, x, 0.535
46, 350, X, w, 0.2
46, 351, X, w, 0.2
46, 363, X, x, 0.535
46, 364, X, w, 0.25
46, 366, X, w, 0.45
46, 367, X, w, 0.2
46, 370, X, x, 0.735
46, 382, X, w, 0.2
46, 385, X, x, 0.735
46, 391, X, x, 0.735
46, 394, X, w, 0.2
46, 398, X, x, 0.535
46, 400, X, w, 0.2
46, 402, X, x, 0.621
46, 403, X, w, 0.25
46, 411, X, w, 0.2
46, 412, X, x, 0.535
46, 416, X, w, 0.2
46, 421, X, x, 0.535
46, 423, X, w, 0.2
46, 424, X, w, 0.2
46, 427, X, w, 0.2
46, 430, X, x, 0.62
46, 433, X, w, 0.2
46, 434, X, w, 0.2
46, 439, X, w, 0.2
46, 442, X, x, 0.62
46, 446, X, w, 0.45
46, 448, X, x, 0.535
46, 449, X, w, 0.25
46, 451, X, x, 0.62
46, 453, X, w, 0.2
46, 455, X, w, 0.2
46, 457, X, w, 0.2
46, 458, X, w, 0.2
46, 459, X, x, 0.62
46, 463, X, x, 0.535
46, 467, X, x, 0.735
46, 469, X, x, 0.62
46, 470, X, x, 0.571
46, 472, X, w, 0.2
46, 482, X, w, 0.45
46, 487, X, x, 0.535
46, 489, X, w, 0.45
46, 490, X, x, 0.535
46, 493, X, w, 0.45
46, 494, X, x, 0.535
46, 495, X, w, 0.25
46, 503, X, w, 0.2
46, 508, X, x, 0.535
46, 509, X, x, 0.57
46, 513, X, w, 0.45
46, 514, X, w, 0.2
46, 519, X, w, 0.2
46, 520, X, w, 0.2
46, 524, X, w, 0.2
46, 525, X, w, 0.2
46, 527, X, w, 0.2
46, 528, X, w, 0.2
46, 533, X, x, 0.535
46, 535, X, w, 0.45
46, 536, X, w, 0.2
46, 538, X, w, 0.45
46, 539, X, w, 0.2
46, 540, X, w, 0.2
46, 541, X, x, 0.536
46, 545, X, w, 0.2
46, 546, X, x, 0.62
46, 548, X, x, 0.62
46, 551, X, x, 0.62
46, 552, X, x, 0.571
46, 553, X, x, 0.57
46, 561, X, x, 0.535
46, 565, X, x, 0.535
46, 567, X, w, 0.45
46, 576, X, w, 0.2
46, 577, X, x, 0.535
46, 583, X, x, 0.536
46, 586, X, w, 0.2
