participant, trial, stimulus, response, rt
58, 1, X, x, 0.785
58, 3, X, w, 0.45
58, 6, X, w, 0.45
58, 13, X, x, 0.735
58, 14, X, w, 0.298
58, 21, X, w, 0.45
58, 23, X, w, 0.2
58, 25, X, w, 0.45
58, 28, X, x, 0.735
58, 29, X, w, 0.292
58, 33, X, w, 0.2
58, 40, X, x, 0.736
58, 45, X, x, 0.62
58, 48, X, w, 0.45
58, 49, X, w, 0.2
58, 50, X, w, 0.2
58, 53, X, x, 0.735
58, 54, X, w, 0.296
58, 56, X, x, 0.62
58, 59, X, w, 0.45
58, 60, X, w, 0.2
58, 61, X, x, 0.535
58, 62, X, w, 0.25
58, 65, X, w, 0.2
58, 66, X, x, 0.535
58, 67, X, w, 0.25
58, 70, X, x, 0.735
58, 73, X, x, 0.62
58, 80, X, x, 0.735
58, 81, X, w, 0.3
58, 87, X, x, 0.735
58, 96, X, x, 0.535
58, 98, X, x, 0.62
58, 106, X, w, 0.45
58, 107, X, w, 0.2
58, 108, X, x, 0.535
58, 109, X, w, 0.25
58, 111, X, w, 0.2
58, 115, X, x, 0.536
58, 121, X, x, 0.535
58, 126, X, x, 0.735
58, 127, X, w, 0.3
58, 129, X, x, 0.621
58, 130, X, w, 0.25
58, 139, X, w, 0.45
58, 141, X, w, 0.2
58, 144, X, x, 0.735
58, 148, X, w, 0.2
58, 151, X, w, 0.45
58, 153, X, x, 0.736
58, 154, X, w, 0.297
58, 155, X, w, 0.2
58, 162, X, w, 0.2
58, 164, X, x, 0.735
58, 165, X, w, 0.296
58, 166, X, x, 0.62
58, 171, X, x, 0.735
58, 175, X, w, 0.2
58, 177, X, x, 0.735
58, 181, X, x, 0.62
58, 183, X, w, 0.2
58, 184, X, x, 0.62
58, 185, X, x, 0.57
58, 189, X, x, 0.535
58, 198, X, x, 0.736
58, 200, X, w, 0.2
58, 203, X, x, 0.735
58, 204, X, w, 0.296
58, 206, X, w, 0.45
58, 207, X, x, 0.535
58, 209, X, w, 0.45
58, 215, X, x, 0.535
58, 220, X, w, 0.45
58, 222, X, w, 0.2
58, 227, X, w, 0.2
58, 228, X, w, 0.2
58, 234, X, x, 0.735
58, 239, X, w, 0.2
58, 240, X, w, 0.2
58, 243, X, w, 0.2
58, 245, X, x, 0.62
58, 246, X, w, 0.25
58, 254, X, w, 0.45
58, 255, X, x, 0.535
58, 256, X, w, 0.25
58, 261, X, w, 0.2
58, 262, X, w, 0.2
58, 264, X, x, 0.535
58, 267, X, x, 0.62
58, 270, X, w, 0.45
58, 271, X, w, 0.2
58, 272, X, x, 0.535
58, 276, X, w, 0.45
58, 278, X, x, 0.735
58, 280, X, w, 0.2
58, 283, X, w, 0.2
58, 285, X, w, 0.45
58, 287, X, x, 0.535
58, 288, X, w, 0.25
58, 291, X, w, 0.2
58, 293, X, w, 0.2
58, 297, X, x, 0.735
58, 309, X, x, 0.535
58, 312, X, x, 0.735
58, 314, X, x, 0.62
58, 315, X, w, 0.25
58, 326, X, w, 0.2
58, 328, X, x, 0.735
58, 334, X, x, 0.536
58, 338, X, w, 0.45
58, 347, X, x, 0.735
58, 349, X, w, 0.2
58, 351, X, x, 0.735
58, 352, X, w, 0.297
58, 355, X, w, 0.2
58, 356, X, w, 0.2
58, 357, X, x, 0.62
58, 359, X, w, 0.2
58, 360, X, w, 0.2
58, 361, X, w, 0.2
58, 362, X, w, 0.2
58, 364, X, w, 0.2
58, 368, X, w, 0.45
58, 371, X, w, 0.2
58, 372, X, w, 0.2
58, 382, X, x, 0.535
58, 384, X, x, 0.62
58, 385, X, w, 0.25
58, 390, X, x, 0.535
58, 395, X, w, 0.2
58, 397, X, w, 0.45
58, 399, X, w, 0.2
58, 404, X, w, 0.2
58, 407, X, x, 0.735
58, 409, X, w, 0.2
58, 410, X, w, 0.2
58, 411, X, w, 0.2
58, 415, X, w, 0.45
58, 420, X, w, 0.2
58, 426, X, w, 0.45
58, 429, X, w, 0.2
58, 430, X, w, 0.2
58, 431, X, w, 0.2
58, 437, X, x, 0.535
58, 438, X, w, 0.25
58, 442, X, w, 0.2
58, 443, X, w, 0.2
58, 444, X, w, 0.2
58, 445, X, w, 0.2
58, 446, X, w, 0.2
58, 447, X, w, 0.2
58, 452, X, x, 0.536
58, 460, X, w, 0.2
58, 462, X, x, 0.535
58, 463, X, w, 0.25
58, 473, X, x, 0.735
58, 477, X, w, 0.2
58, 479, X, w, 0.45
58, 483, X, w, 0.45
58, 485, X, x, 0.735
58, 489, X, x, 0.62
58, 490, X, w, 0.25
58, 491, X, w, 0.2
58, 492, X, x, 0.62
58, 497, X, x, 0.62
58, 505, X, x, 0.62
58, 506, X, w, 0.25
58, 509, X, w, 0.2
