participant, trial, stimulus, response, rt
84, 2, X, x, 0.735
84, 3, X, x, 0.57
84, 6, X, w, 0.45
84, 7, X, x, 0.535
84, 9, X, x, 0.735
84, 10, X, w, 0.335
84, 15, X, x, 0.535
84, 16, X, x, 0.57
84, 17, X, x, 0.57
84, 19, X, w, 0.2
84, 20, X, x, 0.62
84, 23, X, x, 0.735
84, 24, X, w, 0.292
84, 27, X, x, 0.735
84, 29, X, x, 0.62
84, 31, X, w, 0.45
84, 32, X, x, 0.535
84, 35, X, x, 0.735
84, 37, X, w, 0.2
84, 41, X, w, 0.45
84, 43, X, w, 0.2
84, 49, X, x, 0.735
84, 51, X, x, 0.62
84, 54, X, x, 0.735
84, 55, X, w, 0.298
84, 60, X, x, 0.735
84, 63, X, w, 0.45
84, 74, X, w, 0.2
84, 76, X, x, 0.735
84, 82, X, x, 0.735
84, 91, X, x, 0.735
84, 92, X, w, 0.287
84, 94, X, w, 0.2
84, 95, X, x, 0.62
84, 96, X, w, 0.25
84, 102, X, x, 0.535
84, 106, X, x, 0.621
84, 107, X, x, 0.57
84, 108, X, x, 0.57
84, 109, X, w, 0.25
84, 111, X, w, 0.45
84, 114, X, x, 0.735
84, 116, X, x, 0.62
84, 120, X, w, 0.2
84, 123, X, w, 0.2
84, 124, X, x, 0.535
84, 125, X, x, 0.57
84, 126, X, x, 0.57
84, 127, X, x, 0.571
84, 134, X, x, 0.735
84, 139, X, w, 0.45
84, 143, X, w, 0.2
84, 144, X, w, 0.2
84, 145, X, x, 0.535
84, 149, X, w, 0.2
84, 154, X, x, 0.735
84, 164, X, w, 0.2
84, 165, X, w, 0.2
84, 166, X, x, 0.535
84, 167, X, w, 0.25
84, 173, X, w, 0.2
84, 174, X, x, 0.535
84, 177, X, x, 0.62
84, 182, X, x, 0.735
84, 183, X, w, 0.297
84, 184, X, x, 0.62
84, 191, X, w, 0.2
84, 192, X, w, 0.2
84, 193, X, w, 0.2
84, 195, X, w, 0.45
84, 197, X, x, 0.735
84, 198, X, w, 0.297
84, 199, X, w, 0.2
84, 200, X, w, 0.2
84, 203, X, x, 0.62
84, 204, X, w, 0.25
84, 207, X, w, 0.45
84, 210, X, w, 0.2
84, 211, X, x, 0.535
84, 216, X, w, 0.45
84, 218, X, w, 0.45
84, 222, X, x, 0.535
84, 227, X, x, 0.535
84, 228, X, w, 0.25
84, 229, X, w, 0.2
84, 233, X, x, 0.535
84, 236, X, w, 0.45
84, 239, X, w, 0.45
84, 240, X, w, 0.2
84, 242, X, x, 0.535
84, 245, X, w, 0.2
84, 254, X, x, 0.735
84, 255, X, w, 0.3
84, 256, X, w, 0.2
84, 259, X, x, 0.735
84, 264, X, w, 0.2
84, 265, X, x, 0.62
84, 272, X, w, 0.2
84, 273, X, w, 0.2
84, 274, X, x, 0.536
84, 275, X, w, 0.25
84, 276, X, w, 0.2
84, 277, X, w, 0.2
84, 283, X, w, 0.2
84, 285, X, w, 0.2
84, 289, X, w, 0.2
84, 290, X, x, 0.535
84, 292, X, x, 0.62
84, 293, X, w, 0.25
84, 294, X, w, 0.2
84, 298, X, x, 0.535
84, 299, X, w, 0.25
84, 300, X, x, 0.62
84, 304, X, w, 0.45
84, 306, X, w, 0.2
84, 311, X, x, 0.535
84, 315, X, x, 0.62
84, 322, X, w, 0.2
84, 323, X, w, 0.2
84, 326, X, w, 0.45
84, 330, X, x, 0.735
84, 333, X, w, 0.2
84, 337, X, x, 0.62
84, 339, X, w, 0.2
84, 340, X, x, 0.62
84, 342, X, w, 0.45
84, 344, X, w, 0.45
84, 345, X, x, 0.535
84, 347, X, w, 0.2
84, 352, X, w, 0.45
84, 356, X, x, 0.735
84, 357, X, w, 0.297
84, 364, X, x, 0.735
84, 365, X, w, 0.297
84, 366, X, w, 0.2
84, 367, X, x, 0.62
84, 369, X, x, 0.62
84, 370, X, w, 0.25
84, 375, X, w, 0.2
84, 379, X, x, 0.62
84, 383, X, x, 0.62
84, 386, X, x, 0.535
84, 390, X, w, 0.2
84, 392, X, w, 0.2
84, 394, X, w, 0.45
84, 400, X, x, 0.535
84, 401, X, w, 0.25
84, 404, X, x, 0.621
84, 408, X, w, 0.45
84, 410, X, w, 0.2
84, 415, X, w, 0.2
84, 418, X, x, 0.535
84, 424, X, w, 0.45
84, 426, X, x, 0.535
84, 430, X, w, 0.2
84, 438, X, x, 0.535
84, 440, X, w, 0.2
84, 441, X, x, 0.62
84, 450, X, w, 0.45
84, 458, X, w, 0.2
84, 459, X, w, 0.2
84, 460, X, x, 0.536
84, 462, X, w, 0.2
84, 463, X, w, 0.2
84, 464, X, x, 0.62
84, 465, X, w, 0.25
84, 470, X, x, 0.535
84, 477, X, x, 0.535
84, 478, X, x, 0.57
84, 480, X, w, 0.45
84, 482, X, x, 0.735
84, 484, X, w, 0.2
84, 486, X, w, 0.2
84, 493, X, w, 0.2
84, 496, X, w, 0.45
84, 497, X, w, 0.2
84, 499, X, w, 0.2
84, 500, X, x, 0.535
84, 503, X, w, 0.2
84, 504, X, x, 0.535
84, 505, X, w, 0.25
84, 506, X, x, 0.62
84, 509, X, w, 0.2
84, 510, X, w, 0.2
84, 511, X, x, 0.62
84, 515, X, x, 0.735
84, 519, X, w, 0.2
84, 524, X, w, 0.2
84, 527, X, w, 0.2
84, 533, X, w, 0.2
84, 535, X, w, 0.2
84, 540, X, w, 0.2
84, 541, X, w, 0.2
84, 542, X, x, 0.62
84, 543, X, x, 0.57
84, 548, X, w, 0.2
84, 550, X, w, 0.45
84, 551, X, w, 0.2
84, 561, X, x, 0.536
84, 562, X, w, 0.25
84, 563, X, w, 0.2
84, 569, X, w, 0.2
84, 571, X, w, 0.45
84, 574, X, w, 0.2
84, 580, X, w, 0.2
84, 581, X, x, 0.535
84, 583, X, x, 0.62
84, 585, X, w, 0.2
84, 586, X, w, 0.2
84, 587, X, x, 0.62
84, 589, X, w, 0.2
84, 593, X, x, 0.735
84, 594, X, w, 0.299
84, 595, X, w, 0.2
84, 597, X, w, 0.2
84, 598, X, w, 0.2
84, 601, X, w, 0.2
84, 603, X, w, 0.2
84, 608, X, w, 0.2
84, 612, X, x, 0.735
84, 618, X, x, 0.735
84, 629, X, w, 0.45
84, 637, X, w, 0.2
84, 640, X, w, 0.2
84, 641, X, w, 0.2
84, 646, X, w, 0.2
84, 652, X, w, 0.2
84, 656, X, x, 0.535
84, 660, X, w, 0.45
84, 661, X, w, 0.2
84, 662, X, x, 0.535
84, 667, X, w, 0.45
84, 669, X, x, 0.535
84, 673, X, w, 0.2
84, 681, X, w, 0.45
84, 683, X, w, 0.2
84, 690, X, w, 0.2
84, 693, X, x, 0.535
84, 694, X, x, 0.57
84, 704, X, w, 0.2
84, 706, X, x, 0.535
84, 708, X, w, 0.2
84, 709, X, w, 0.2
84, 711, X, w, 0.2
84, 712, X, x, 0.535
84, 713, X, x, 0.57
84, 717, X, w, 0.2
84, 718, X, w, 0.2
84, 721, X, w, 0.45
84, 722, X, w, 0.2
84, 725, X, w, 0.2
84, 730, X, x, 0.535
84, 734, X, x, 0.535
84, 739, X, w, 0.2
84, 747, X, x, 0.535
84, 749, X, w, 0.45
84, 752, X, w, 0.45
84, 753, X, w, 0.2
84, 755, X, w, 0.2
84, 756, X, w, 0.2
84, 759, X, w, 0.2
84, 760, X, x, 0.535
84, 761, X, x, 0.57
84, 767, X, w, 0.2
84, 769, X, w, 0.2
84, 770, X, w, 0.2
84, 776, X, w, 0.2
84, 777, X, w, 0.2
84, 784, X, w, 0.45
84, 785, X, x, 0.535
84, 787, X, x, 0.62
84, 789, X, x, 0.62
84, 797, X, w, 0.2
84, 801, X, w, 0.2
84, 803, X, x, 0.535
84, 809, X, w, 0.2
84, 811, X, w, 0.45
84, 812, X, w, 0.2
84, 814, X, w, 0.2
84, 815, X, x, 0.535
84, 817, X, w, 0.2
84, 818, X, w, 0.2
84, 819, X, w, 0.2
84, 820, X, w, 0.2
84, 821, X, w, 0.2
84, 823, X, x, 0.62
84, 826, X, w, 0.2
84, 830, X, w, 0.45
84, 831, X, w, 0.2
84, 832, X, w, 0.2
84, 833, X, w, 0.2
84, 834, X, w, 0.2
84, 835, X, w, 0.2
84, 836, X, x, 0.535
84, 839, X, w, 0.2
84, 840, X, w, 0.2
84, 847, X, x, 0.535
84, 851, X, w, 0.2
84, 856, X, w, 0.2
84, 859, X, w, 0.2
84, 862, X, w, 0.45
84, 865, X, w, 0.2
84, 866, X, w, 0.2
84, 868, X, w, 0.45
84, 870, X, w, 0.2
84, 872, X, x, 0.535
84, 873, X, w, 0.25
84, 875, X, w, 0.2
84, 879, X, w, 0.2
84, 885, X, w, 0.2
84, 886, X, w, 0.2
84, 887, X, w, 0.2
84, 889, X, w, 0.45
84, 893, X, w, 0.2
84, 894, X, w, 0.2
84, 896, X, w, 0.2
84, 898, X, x, 0.535
84, 900, X, w, 0.2
84, 902, X, x, 0.62
84, 903, X, x, 0.57
84, 904, X, w, 0.25
84, 905, X, w, 0.2
84, 907, X, x, 0.535
84, 909, X, w, 0.45
84, 916, X, x, 0.535
84, 920, X, w, 0.2
84, 921, X, w, 0.2
84, 929, X, x, 0.735
84, 933, X, w, 0.2
84, 935, X, x, 0.735
84, 936, X, w, 0.297
84, 937, X, w, 0.2
84, 939, X, w, 0.45
84, 941, X, w, 0.45
84, 942, X, w, 0.2
84, 943, X, x, 0.535
84, 945, X, w, 0.2
84, 947, X, w, 0.45
