participant, trial, stimulus, response, rt
20, 2, X, x, 0.735
20, 5, X, x, 0.735
20, 8, X, x, 0.736
20, 14, X, x, 0.736
20, 17, X, x, 0.62
20, 18, X, x, 0.57
20, 19, X, x, 0.57
20, 24, X, x, 0.735
20, 25, X, w, 0.291
20, 26, X, x, 0.62
20, 28, X, x, 0.735
20, 29, X, w, 0.294
20, 33, X, x, 0.62
20, 43, X, x, 0.735
20, 52, X, w, 0.45
20, 55, X, w, 0.2
20, 57, X, x, 0.735
20, 59, X, w, 0.2
20, 62, X, w, 0.45
20, 64, X, x, 0.735
20, 65, X, w, 0.295
20, 67, X, x, 0.735
20, 73, X, x, 0.535
20, 77, X, x, 0.735
20, 78, X, w, 0.298
20, 81, X, x, 0.62
20, 85, X, x, 0.535
20, 87, X, x, 0.62
20, 89, X, w, 0.2
20, 92, X, w, 0.2
20, 93, X, x, 0.62
20, 94, X, x, 0.57
20, 96, X, x, 0.735
20, 100, X, x, 0.735
20, 104, X, w, 0.45
20, 106, X, w, 0.45
20, 110, X, x, 0.735
20, 116, X, x, 0.535
20, 118, X, x, 0.735
20, 119, X, w, 0.294
20, 120, X, x, 0.62
20, 127, X, w, 0.45
20, 128, X, x, 0.535
20, 129, X, x, 0.57
20, 130, X, x, 0.57
20, 132, X, w, 0.45
20, 140, X, w, 0.45
20, 143, X, w, 0.2
20, 144, X, w, 0.2
20, 145, X, x, 0.535
20, 148, X, x, 0.57
20, 154, X, w, 0.45
20, 157, X, x, 0.735
20, 158, X, w, 0.298
20, 168, X, x, 0.536
20, 174, X, w, 0.2
20, 177, X, w, 0.45
20, 178, X, x, 0.535
20, 186, X, w, 0.2
20, 187, X, w, 0.2
20, 195, X, x, 0.735
20, 199, X, x, 0.735
20, 200, X, w, 0.297
20, 205, X, w, 0.2
20, 208, X, w, 0.2
20, 211, X, w, 0.45
20, 212, X, x, 0.535
20, 215, X, x, 0.62
20, 216, X, x, 0.57
20, 223, X, x, 0.535
20, 225, X, w, 0.2
20, 230, X, w, 0.45
20, 234, X, x, 0.735
20, 244, X, w, 0.2
20, 249, X, x, 0.535
20, 250, X, x, 0.572
20, 252, X, w, 0.45
20, 253, X, w, 0.2
20, 255, X, w, 0.45
20, 265, X, x, 0.535
20, 269, X, x, 0.735
20, 270, X, w, 0.292
20, 273, X, w, 0.45
20, 275, X, w, 0.45
20, 280, X, w, 0.2
20, 281, X, x, 0.535
20, 283, X, x, 0.62
20, 285, X, w, 0.2
20, 287, X, w, 0.2
20, 288, X, x, 0.62
20, 290, X, w, 0.45
20, 295, X, w, 0.45
20, 296, X, x, 0.535
