participant, trial, stimulus, response, rt
38, 10, X, w, 0.2
38, 14, X, x, 0.735
38, 19, X, x, 0.535
38, 21, X, x, 0.735
38, 22, X, w, 0.289
38, 27, X, x, 0.735
38, 28, X, w, 0.296
38, 30, X, x, 0.735
38, 34, X, x, 0.535
38, 37, X, x, 0.735
38, 42, X, x, 0.535
38, 43, X, w, 0.25
38, 53, X, x, 0.535
38, 55, X, w, 0.45
38, 56, X, x, 0.535
38, 62, X, w, 0.45
38, 63, X, w, 0.2
38, 65, X, x, 0.535
38, 70, X, w, 0.2
38, 71, X, w, 0.2
38, 72, X, x, 0.535
38, 73, X, w, 0.25
38, 76, X, x, 0.536
38, 80, X, x, 0.735
38, 81, X, w, 0.295
38, 82, X, w, 0.2
38, 83, X, w, 0.2
38, 90, X, w, 0.2
38, 94, X, w, 0.2
38, 95, X, x, 0.535
38, 98, X, w, 0.45
38, 102, X, x, 0.735
38, 103, X, w, 0.295
38, 104, X, x, 0.62
38, 105, X, w, 0.25
38, 108, X, x, 0.735
38, 110, X, w, 0.2
38, 113, X, w, 0.45
38, 118, X, w, 0.45
38, 119, X, w, 0.2
38, 120, X, x, 0.535
38, 122, X, x, 0.62
38, 126, X, w, 0.45
38, 129, X, w, 0.2
38, 134, X, w, 0.45
38, 136, X, w, 0.2
38, 147, X, w, 0.45
38, 150, X, x, 0.535
38, 152, X, x, 0.486
38, 156, X, w, 0.45
38, 160, X, x, 0.535
38, 164, X, x, 0.535
38, 172, X, x, 0.735
38, 173, X, w, 0.298
38, 175, X, w, 0.45
38, 176, X, x, 0.535
38, 178, X, x, 0.62
38, 180, X, w, 0.2
38, 182, X, x, 0.62
38, 186, X, w, 0.2
38, 187, X, w, 0.2
38, 190, X, x, 0.535
38, 194, X, w, 0.45
38, 201, X, x, 0.535
38, 206, X, x, 0.735
38, 211, X, w, 0.2
38, 214, X, w, 0.2
38, 217, X, x, 0.735
38, 220, X, w, 0.2
38, 222, X, x, 0.62
38, 224, X, w, 0.45
38, 230, X, x, 0.535
38, 232, X, x, 0.735
38, 239, X, x, 0.535
38, 241, X, x, 0.735
38, 244, X, x, 0.62
38, 247, X, w, 0.2
38, 252, X, w, 0.45
38, 254, X, w, 0.45
38, 255, X, x, 0.535
38, 258, X, w, 0.45
38, 259, X, x, 0.535
38, 261, X, x, 0.735
38, 262, X, w, 0.296
38, 266, X, w, 0.45
38, 267, X, w, 0.2
38, 268, X, w, 0.2
38, 271, X, x, 0.735
38, 272, X, w, 0.292
38, 274, X, w, 0.2
38, 275, X, x, 0.62
38, 284, X, x, 0.735
38, 285, X, w, 0.296
38, 290, X, w, 0.45
38, 298, X, w, 0.45
38, 302, X, w, 0.45
38, 303, X, x, 0.535
38, 304, X, w, 0.25
38, 307, X, x, 0.735
38, 311, X, w, 0.2
38, 313, X, w, 0.45
38, 315, X, x, 0.535
38, 319, X, w, 0.45
38, 320, X, x, 0.535
38, 324, X, w, 0.2
38, 325, X, w, 0.2
38, 330, X, w, 0.2
38, 336, X, w, 0.45
38, 338, X, x, 0.535
38, 340, X, w, 0.2
38, 342, X, w, 0.45
38, 343, X, w, 0.2
38, 344, X, x, 0.535
38, 348, X, x, 0.535
38, 350, X, x, 0.62
38, 351, X, w, 0.25
38, 353, X, w, 0.2
38, 355, X, x, 0.62
38, 356, X, x, 0.57
38, 357, X, w, 0.25
38, 360, X, w, 0.2
38, 366, X, x, 0.62
38, 367, X, x, 0.57
38, 370, X, x, 0.62
38, 371, X, w, 0.25
38, 375, X, w, 0.45
38, 378, X, x, 0.535
38, 381, X, w, 0.2
38, 382, X, w, 0.2
38, 386, X, w, 0.2
38, 389, X, w, 0.2
38, 390, X, w, 0.2
38, 391, X, x, 0.535
38, 392, X, x, 0.57
38, 394, X, x, 0.62
38, 395, X, x, 0.57
38, 396, X, w, 0.25
38, 400, X, w, 0.2
38, 405, X, w, 0.2
38, 406, X, w, 0.2
38, 407, X, w, 0.2
38, 410, X, x, 0.535
38, 413, X, w, 0.2
38, 414, X, w, 0.2
38, 416, X, w, 0.2
38, 417, X, w, 0.2
38, 420, X, w, 0.2
38, 423, X, x, 0.735
38, 428, X, w, 0.45
38, 430, X, w, 0.2
38, 431, X, x, 0.535
38, 434, X, x, 0.62
38, 437, X, x, 0.535
38, 438, X, x, 0.57
38, 440, X, x, 0.736
38, 442, X, w, 0.2
38, 443, X, w, 0.2
38, 446, X, x, 0.62
38, 448, X, w, 0.45
38, 452, X, x, 0.535
38, 456, X, w, 0.2
38, 458, X, x, 0.735
38, 471, X, x, 0.735
38, 478, X, x, 0.621
38, 480, X, x, 0.62
38, 482, X, w, 0.2
38, 483, X, w, 0.2
38, 487, X, w, 0.2
38, 490, X, x, 0.735
38, 491, X, w, 0.298
38, 493, X, w, 0.2
38, 495, X, w, 0.2
38, 498, X, x, 0.535
38, 501, X, w, 0.2
38, 506, X, w, 0.2
38, 508, X, w, 0.2
38, 509, X, w, 0.2
38, 520, X, x, 0.535
38, 521, X, w, 0.25
38, 523, X, x, 0.735
38, 526, X, w, 0.2
38, 530, X, x, 0.735
38, 535, X, w, 0.45
38, 537, X, x, 0.736
38, 539, X, x, 0.62
38, 543, X, w, 0.2
38, 544, X, w, 0.2
38, 548, X, x, 0.735
38, 549, X, w, 0.299
38, 553, X, w, 0.2
38, 554, X, x, 0.62
38, 555, X, x, 0.57
38, 558, X, w, 0.45
38, 559, X, w, 0.2
38, 562, X, w, 0.45
38, 567, X, w, 0.45
38, 571, X, w, 0.2
38, 573, X, x, 0.621
38, 575, X, w, 0.2
38, 577, X, w, 0.2
38, 582, X, w, 0.45
38, 584, X, x, 0.735
38, 585, X, w, 0.3
38, 587, X, w, 0.45
38, 588, X, x, 0.535
38, 594, X, w, 0.2
38, 596, X, w, 0.45
38, 597, X, x, 0.535
38, 601, X, w, 0.45
38, 602, X, w, 0.2
38, 604, X, x, 0.735
38, 607, X, w, 0.2
38, 616, X, w, 0.2
38, 619, X, w, 0.2
38, 621, X, w, 0.2
38, 622, X, w, 0.2
38, 623, X, w, 0.2
38, 625, X, w, 0.2
38, 626, X, x, 0.535
38, 628, X, x, 0.62
38, 629, X, x, 0.57
38, 630, X, x, 0.57
38, 633, X, x, 0.735
38, 634, X, w, 0.296
38, 635, X, x, 0.62
38, 638, X, w, 0.45
38, 649, X, w, 0.45
38, 653, X, w, 0.45
38, 654, X, w, 0.2
38, 660, X, w, 0.2
38, 667, X, w, 0.2
38, 672, X, w, 0.45
38, 674, X, x, 0.535
38, 676, X, w, 0.2
38, 677, X, w, 0.2
38, 678, X, w, 0.2
38, 684, X, w, 0.45
38, 689, X, w, 0.2
38, 692, X, x, 0.535
38, 695, X, w, 0.45
38, 699, X, x, 0.735
38, 702, X, w, 0.2
38, 703, X, x, 0.62
38, 705, X, w, 0.45
38, 708, X, w, 0.45
38, 714, X, x, 0.736
38, 716, X, w, 0.2
38, 719, X, x, 0.735
38, 723, X, w, 0.45
38, 725, X, w, 0.2
38, 727, X, w, 0.45
38, 728, X, w, 0.2
38, 730, X, w, 0.2
38, 731, X, w, 0.2
38, 734, X, x, 0.535
38, 735, X, w, 0.25
38, 737, X, w, 0.2
38, 738, X, x, 0.62
38, 746, X, w, 0.2
38, 749, X, w, 0.2
38, 751, X, w, 0.45
38, 752, X, x, 0.535
38, 754, X, w, 0.2
38, 755, X, x, 0.62
38, 760, X, w, 0.45
38, 761, X, w, 0.2
38, 764, X, x, 0.535
